# x	y	u	v	mask
  0.3108	  6.9934	  0.4049	 -0.1639	  0.0000
  0.6734	  6.9934	  0.1742	  0.2191	  1.0000
  1.0361	  6.9934	 -0.5127	  3.9894	  0.0000
  1.3987	  6.9934	 -0.0562	 -0.0633	  0.0000
  1.7613	  6.9934	  0.9333	 -1.6641	  0.0000
  2.1239	  6.9934	  0.7835	  0.3754	  1.0000
  2.4865	  6.9934	  1.3468	  0.0865	  1.0000
  2.8492	  6.9934	 -2.3279	  8.0767	  0.0000
  3.2118	  6.9934	-10.2622	  1.6957	  0.0000
  3.5744	  6.9934	  1.0983	 -1.1726	  1.0000
  3.9370	  6.9934	  0.8516	 -1.2742	  1.0000
  4.2996	  6.9934	  0.5965	 -1.4862	  1.0000
  4.6622	  6.9934	  0.5026	 -1.2210	  1.0000
  5.0249	  6.9934	 -0.2112	 -1.1130	  1.0000
  5.3875	  6.9934	 -1.5629	  0.3776	  0.0000
  5.7501	  6.9934	 -0.5298	 -0.8261	  1.0000
  6.1127	  6.9934	 -0.2225	 -1.0437	  1.0000
  6.4753	  6.9934	  0.2234	 -0.3622	  0.0000
  6.8380	  6.9934	  7.6686	  7.3140	  0.0000
  7.2006	  6.9934	 -0.0334	 -1.1563	  1.0000
  7.5632	  6.9934	 -0.3602	 -0.8052	  1.0000
  7.9258	  6.9934	 -0.1994	 -0.0188	  0.0000
  8.2884	  6.9934	 -0.3227	 -0.1348	  0.0000
  8.6511	  6.9934	 -7.6587	 -6.1229	  0.0000
  9.0137	  6.9934	 -2.5961	 -0.7441	  1.0000
  0.3108	  6.6308	  0.7150	 -0.3319	  0.0000
  0.6734	  6.6308	 -7.5556	 -7.6751	  0.0000
  1.0361	  6.6308	 -0.1386	  0.0029	  0.0000
  1.3987	  6.6308	  0.6301	  0.2013	  1.0000
  1.7613	  6.6308	 10.0722	  7.6191	  0.0000
  2.1239	  6.6308	  0.9315	  0.1718	  1.0000
  2.4865	  6.6308	  0.7034	 -0.1063	  0.0000
  2.8492	  6.6308	  0.6089	 -0.5092	  0.0000
  3.2118	  6.6308	  7.6676	 -6.3581	  0.0000
  3.5744	  6.6308	  1.1906	 -1.1460	  1.0000
  3.9370	  6.6308	  9.8502	-12.3458	  0.0000
  4.2996	  6.6308	  7.5832	 13.8660	  0.0000
  4.6622	  6.6308	  0.3095	 -1.0230	  1.0000
  5.0249	  6.6308	 -0.2819	 -0.9207	  1.0000
  5.3875	  6.6308	 -1.4359	  0.4833	  0.0000
  5.7501	  6.6308	 -0.5750	 -0.6344	  1.0000
  6.1127	  6.6308	 -8.8237	 -9.1106	  0.0000
  6.4753	  6.6308	 -0.5596	 -0.9209	  1.0000
  6.8380	  6.6308	 -0.2079	 -1.2632	  1.0000
  7.2006	  6.6308	 -0.4644	 -1.0916	  1.0000
  7.5632	  6.6308	 -0.2126	 -0.0637	  0.0000
  7.9258	  6.6308	  9.5449	-11.9231	  0.0000
  8.2884	  6.6308	 -5.1244	  7.9480	  0.0000
  8.6511	  6.6308	 -7.8157	  7.9331	  0.0000
  9.0137	  6.6308	 -2.6219	 -0.4513	  1.0000
  0.3108	  6.2681	 -0.3416	 -0.0534	  1.0000
  0.6734	  6.2681	  0.4402	  0.1378	  1.0000
  1.0361	  6.2681	  0.2282	 -0.0417	  1.0000
  1.3987	  6.2681	  5.7142	  7.7963	  0.0000
  1.7613	  6.2681	  0.2483	  0.0971	  1.0000
  2.1239	  6.2681	  0.3976	  0.1616	  1.0000
  2.4865	  6.2681	  0.1679	 -1.9672	  0.0000
  2.8492	  6.2681	  1.1210	  0.3580	  0.0000
  3.2118	  6.2681	  0.8898	 -1.0750	  1.0000
  3.5744	  6.2681	  0.9276	 -1.0082	  1.0000
  3.9370	  6.2681	  0.5124	 -0.9596	  1.0000
  4.2996	  6.2681	  0.5778	 -1.3105	  1.0000
  4.6622	  6.2681	  0.3779	 -1.0816	  1.0000
  5.0249	  6.2681	 -0.3468	 -0.7777	  1.0000
  5.3875	  6.2681	 -1.0420	 -0.0365	  0.0000
  5.7501	  6.2681	 -0.5703	  0.0679	  0.0000
  6.1127	  6.2681	  6.4514	 -7.8426	  0.0000
  6.4753	  6.2681	  0.6576	 -9.1185	  0.0000
  6.8380	  6.2681	 -0.0385	 -0.0746	  0.0000
  7.2006	  6.2681	 -0.6627	 -0.6346	  1.0000
  7.5632	  6.2681	 -1.0361	 -0.1388	  1.0000
  7.9258	  6.2681	 -1.7754	 -0.3714	  1.0000
  8.2884	  6.2681	 -2.2511	 -0.5762	  1.0000
  8.6511	  6.2681	 -2.4861	 -0.1950	  1.0000
  9.0137	  6.2681	 -5.2104	 -5.6043	  0.0000
  0.3108	  5.9055	 -0.2324	 -0.1572	  1.0000
  0.6734	  5.9055	  0.4314	  0.0396	  1.0000
  1.0361	  5.9055	 -7.8748	 -7.2926	  0.0000
  1.3987	  5.9055	  0.4759	 -0.1678	  1.0000
  1.7613	  5.9055	  0.3424	  0.2403	  1.0000
  2.1239	  5.9055	  5.8054	  0.1091	  0.0000
  2.4865	  5.9055	  1.0068	  0.0211	  1.0000
  2.8492	  5.9055	  1.2687	 -0.6036	  1.0000
  3.2118	  5.9055	  0.9070	 -0.7374	  1.0000
  3.5744	  5.9055	  4.0585	 -7.8143	  0.0000
  3.9370	  5.9055	  0.5448	 -0.6764	  1.0000
  4.2996	  5.9055	 -7.6175	 -7.8097	  0.0000
  4.6622	  5.9055	  0.2695	 -0.7888	  1.0000
  5.0249	  5.9055	 -0.3600	 -0.4704	  1.0000
  5.3875	  5.9055	 -0.8504	 -0.0463	  1.0000
  5.7501	  5.9055	 -0.7224	  0.3825	  1.0000
  6.1127	  5.9055	-10.3076	  9.7237	  0.0000
  6.4753	  5.9055	 -2.0977	  1.5373	  0.0000
  6.8380	  5.9055	 -0.4199	  0.0433	  1.0000
  7.2006	  5.9055	 13.0256	 -8.3410	  0.0000
  7.5632	  5.9055	 -0.1571	 -0.0448	  0.0000
  7.9258	  5.9055	 -1.5513	  0.0882	  1.0000
  8.2884	  5.9055	 -2.0518	 -0.3791	  1.0000
  8.6511	  5.9055	 -2.2887	 -0.0813	  1.0000
  9.0137	  5.9055	 -2.6920	 -0.3264	  1.0000
  0.3108	  5.5429	 -2.4899	  7.7555	  0.0000
  0.6734	  5.5429	  1.1515	 -1.0187	  0.0000
  1.0361	  5.5429	  0.5720	  0.0213	  0.0000
  1.3987	  5.5429	  0.1309	 -0.3105	  1.0000
  1.7613	  5.5429	  0.3609	  0.2027	  1.0000
  2.1239	  5.5429	  0.6327	  0.4518	  1.0000
  2.4865	  5.5429	  6.7221	 -5.0378	  0.0000
  2.8492	  5.5429	  1.0647	 -0.2784	  1.0000
  3.2118	  5.5429	  1.1910	  0.5755	  0.0000
  3.5744	  5.5429	  0.7231	 -0.3813	  1.0000
  3.9370	  5.5429	  0.3917	 -0.4664	  1.0000
  4.2996	  5.5429	  0.2969	 -0.6253	  1.0000
  4.6622	  5.5429	 -0.1130	 -0.2804	  1.0000
  5.0249	  5.5429	 -0.7556	  0.0402	  1.0000
  5.3875	  5.5429	 -0.9297	  0.4372	  1.0000
  5.7501	  5.5429	 -0.8491	  0.5019	  0.0000
  6.1127	  5.5429	 -0.4157	  0.6340	  1.0000
