# x	y	u	v	mask
  0.3108	  6.9934	  1.8077	 -3.6855	  1.0000
  0.6734	  6.9934	  0.6488	 -0.4075	  0.0000
  1.0361	  6.9934	 -8.6000	 -0.4033	  0.0000
  1.3987	  6.9934	  2.5566	 -2.7948	  1.0000
  1.7613	  6.9934	  3.0932	 -2.5787	  1.0000
  2.1239	  6.9934	  3.0007	 -1.8264	  1.0000
  2.4865	  6.9934	  3.0557	 -2.1212	  1.0000
  2.8492	  6.9934	 13.0688	  6.5527	  0.0000
  3.2118	  6.9934	  2.0897	 -1.8932	  1.0000
  3.5744	  6.9934	  1.1079	 -2.3495	  1.0000
  3.9370	  6.9934	 -8.2481	  8.2614	  0.0000
  4.2996	  6.9934	 -0.3501	 -2.7368	  1.0000
  4.6622	  6.9934	 -7.7703	 -7.6735	  0.0000
  5.0249	  6.9934	 -1.0670	 -2.4804	  1.0000
  5.3875	  6.9934	  9.5185	 -9.1459	  0.0000
  5.7501	  6.9934	 -0.7640	 -2.2052	  1.0000
  6.1127	  6.9934	 -0.3029	 -1.4214	  0.0000
  6.4753	  6.9934	  0.0839	 -5.4186	  0.0000
  6.8380	  6.9934	  0.9715	  0.3693	  0.0000
  7.2006	  6.9934	  0.4614	 -0.8536	  1.0000
  7.5632	  6.9934	  0.2973	 -0.7750	  1.0000
  7.9258	  6.9934	 -0.1002	 -1.0155	  1.0000
  8.2884	  6.9934	  4.9992	 -4.6642	  0.0000
  8.6511	  6.9934	 -2.9555	 -5.2470	  0.0000
  9.0137	  6.9934	 -0.6901	 -1.8532	  1.0000
  0.3108	  6.6308	  2.2846	 -3.6041	  1.0000
  0.6734	  6.6308	 13.5285	-13.1541	  0.0000
  1.0361	  6.6308	  4.1026	 -1.5184	  0.0000
  1.3987	  6.6308	  2.7555	 -2.6846	  1.0000
  1.7613	  6.6308	  3.1986	 -2.5024	  1.0000
  2.1239	  6.6308	  3.1232	 -1.8886	  1.0000
  2.4865	  6.6308	  3.1281	 -2.0716	  1.0000
  2.8492	  6.6308	  2.5148	 -1.6421	  1.0000
  3.2118	  6.6308	  2.0933	 -1.5718	  1.0000
  3.5744	  6.6308	  0.9635	 -1.8540	  1.0000
  3.9370	  6.6308	  0.0364	 -2.2043	  1.0000
  4.2996	  6.6308	 -0.9442	 -2.6503	  1.0000
  4.6622	  6.6308	 -1.5451	 -2.5676	  1.0000
  5.0249	  6.6308	 -1.3220	 -2.6290	  1.0000
  5.3875	  6.6308	 -1.1670	 -2.7181	  1.0000
  5.7501	  6.6308	 -1.0859	 -2.4635	  1.0000
  6.1127	  6.6308	 -0.3622	 -2.2049	  1.0000
  6.4753	  6.6308	 -0.0009	 -1.7345	  1.0000
  6.8380	  6.6308	  0.0047	 -0.9833	  1.0000
  7.2006	  6.6308	  0.2181	 -0.1992	  0.0000
  7.5632	  6.6308	 -3.4756	 -3.0687	  0.0000
  7.9258	  6.6308	 -0.4131	 -0.9303	  1.0000
  8.2884	  6.6308	 -0.5993	 -1.0302	  1.0000
  8.6511	  6.6308	 -0.0883	 -0.1125	  0.0000
  9.0137	  6.6308	 -0.9639	 -1.2715	  1.0000
  0.3108	  6.2681	  1.5764	 -2.7423	  1.0000
  0.6734	  6.2681	  1.3345	 -2.6435	  1.0000
  1.0361	  6.2681	  1.6471	 -2.2291	  1.0000
  1.3987	  6.2681	  1.9250	 -2.1285	  1.0000
  1.7613	  6.2681	  2.0851	 -1.6036	  1.0000
  2.1239	  6.2681	  2.3150	 -0.8963	  1.0000
  2.4865	  6.2681	  2.4926	 -1.0514	  1.0000
  2.8492	  6.2681	  2.0129	 -0.6749	  1.0000
  3.2118	  6.2681	  3.6187	  2.2210	  0.0000
  3.5744	  6.2681	 -4.1151	-10.1159	  0.0000
  3.9370	  6.2681	  4.7375	-13.7606	  0.0000
  4.2996	  6.2681	 -0.4405	 -1.6238	  1.0000
  4.6622	  6.2681	 -1.2036	 -1.7510	  1.0000
  5.0249	  6.2681	 -0.9672	 -2.0264	  1.0000
  5.3875	  6.2681	 -0.8281	 -2.1281	  1.0000
  5.7501	  6.2681	 -0.7358	 -1.9432	  1.0000
  6.1127	  6.2681	  0.1088	 -1.9615	  1.0000
  6.4753	  6.2681	  0.3684	 -1.5941	  1.0000
  6.8380	  6.2681	  0.2952	 -0.9889	  1.0000
  7.2006	  6.2681	  0.7015	 -1.1827	  1.0000
  7.5632	  6.2681	  0.2672	  0.0327	  0.0000
  7.9258	  6.2681	 -7.7938	  4.9146	  0.0000
  8.2884	  6.2681	  0.2740	 -0.1658	  0.0000
  8.6511	  6.2681	 -0.5943	 -1.1203	  1.0000
  9.0137	  6.2681	 -7.5777	-11.3797	  0.0000
  0.3108	  5.9055	  1.5782	 -2.0116	  1.0000
  0.6734	  5.9055	  0.7949	 -7.6156	  0.0000
  1.0361	  5.9055	  1.9729	 -1.8796	  1.0000
  1.3987	  5.9055	  2.1763	 -1.8256	  1.0000
  1.7613	  5.9055	  2.3371	 -1.3993	  1.0000
  2.1239	  5.9055	  2.5560	 -0.7834	  1.0000
  2.4865	  5.9055	  2.7821	 -0.8975	  1.0000
  2.8492	  5.9055	  7.6239	-12.7050	  0.0000
  3.2118	  5.9055	  2.1383	 -0.4723	  1.0000
  3.5744	  5.9055	  1.1997	 -0.2605	  1.0000
  3.9370	  5.9055	  0.6104	 -0.4623	  1.0000
  4.2996	  5.9055	  0.2007	 -1.0797	  1.0000
  4.6622	  5.9055	 -0.4816	 -1.1923	  1.0000
  5.0249	  5.9055	 -0.3749	 -1.4670	  1.0000
  5.3875	  5.9055	 -0.2732	 -1.5735	  1.0000
  5.7501	  5.9055	 -4.3099	  7.5720	  0.0000
  6.1127	  5.9055	  0.5812	 -1.5601	  1.0000
  6.4753	  5.9055	  0.7546	 -1.2386	  1.0000
  6.8380	  5.9055	  0.7833	 -0.9719	  1.0000
  7.2006	  5.9055	  7.7490	  7.7103	  0.0000
  7.5632	  5.9055	  0.4501	 -0.0719	  0.0000
  7.9258	  5.9055	  0.3588	 -1.1255	  1.0000
  8.2884	  5.9055	  7.6216	 -1.7845	  0.0000
  8.6511	  5.9055	 -0.1141	 -0.1411	  0.0000
  9.0137	  5.9055	 -0.3935	 -1.8164	  1.0000
  0.3108	  5.5429	  1.5471	 -1.4558	  1.0000
  0.6734	  5.5429	  1.6273	 -1.6125	  1.0000
  1.0361	  5.5429	  1.9626	 -1.3346	  1.0000
  1.3987	  5.5429	 11.5792	 -8.7345	  0.0000
  1.7613	  5.5429	  2.3518	 -1.2938	  1.0000
  2.1239	  5.5429	  2.6424	 -0.6050	  1.0000
  2.4865	  5.5429	  2.3560	 -0.9679	  1.0000
  2.8492	  5.5429	  2.2018	 -0.7914	  1.0000
  3.2118	  5.5429	  1.6789	 -0.7313	  1.0000
  3.5744	  5.5429	  0.9306	 -0.3496	  1.0000
  3.9370	  5.5429	  0.4361	 -0.5301	  1.0000
  4.2996	  5.5429	  4.4647	  0.8343	  0.0000
  4.6622	  5.5429	 -8.8237	  3.1423	  0.0000
  5.0249	  5.5429	 -7.8251	-10.6673	  0.0000
  5.3875	  5.5429	-13.6316	 -8.4441	  0.0000
  5.7501	  5.5429	  0.5315	 -0.7185	  1.0000
  6.1127	  5.5429	  6.9675	 -7.6343	  0.0000
  6.4753	  5.5429	  1.0242	 -1.1073	  1.0000
  6.8380	  5.5429	  1.2162	 -1.0680	  1.0000
  7.2006	  5.5429	 -7.6714	 -7.6608	  0.0000
  7.5632	  5.5429	  0.8789	 -0.8594	  1.0000
  7.9258	  5.5429	  0.4203	 -1.0106	  1.0000
  8.2884	  5.5429	 -0.1381	 -1.3915	  1.0000
  8.6511	  5.5429	 -0.3522	 -1.3967	  1.0000
  9.0137	  5.5429	 -7.6035	  7.5103	  0.0000
  0.3108	  5.1803	  0.6678	 -0.6971	  1.0000
  0.6734	  5.1803	  0.0886	 -0.2469	  0.0000
  1.0361	  5.1803	 -7.8704	  7.8945	  0.0000
  1.3987	  5.1803	 -0.0568	 -0.6434	  0.0000
  1.7613	  5.1803	-13.2378	 -0.4622	  0.0000
  2.1239	  5.1803	  2.2572	 -0.1828	  1.0000
  2.4865	  5.1803	  2.0846	 -0.4952	  1.0000
  2.8492	  5.1803	 -8.8055	 14.9282	  0.0000
  3.2118	  5.1803	 12.3829	  7.9750	  0.0000
  3.5744	  5.1803	 -0.5785	  7.7873	  0.0000
  3.9370	  5.1803	  1.0192	  0.2466	  1.0000
  4.2996	  5.1803	  0.7394	  0.0259	  1.0000
  4.6622	  5.1803	 -7.5735	  7.9824	  0.0000
  5.0249	  5.1803	  3.9167	  0.7660	  0.0000
  5.3875	  5.1803	  4.1589	  0.1192	  0.0000
  5.7501	  5.1803	  0.8107	 -0.4960	  1.0000
  6.1127	  5.1803	  1.0306	 -1.1323	  1.0000
  6.4753	  5.1803	  1.1765	 -1.0265	  1.0000
  6.8380	  5.1803	  1.2440	 -1.1568	  1.0000
  7.2006	  5.1803	  1.3528	 -1.6105	  1.0000
  7.5632	  5.1803	  1.1391	 -1.1243	  1.0000
  7.9258	  5.1803	  0.6794	 -1.2916	  1.0000
  8.2884	  5.1803	  0.0397	 -0.4596	  0.0000
  8.6511	  5.1803	 -0.1077	 -1.5119	  1.0000
  9.0137	  5.1803	 -0.4085	 -1.6995	  1.0000
  0.3108	  4.8177	  1.0926	  0.3272	  1.0000
  0.6734	  4.8177	  1.1470	 -0.0804	  1.0000
  1.0361	  4.8177	  1.5251	 -0.0661	  1.0000
  1.3987	  4.8177	  3.2081	  7.7264	  0.0000
  1.7613	  4.8177	  9.6136	 -7.7805	  0.0000
  2.1239	  4.8177	  7.5999	 -0.4067	  0.0000
  2.4865	  4.8177	  2.1752	 -0.6625	  1.0000
  2.8492	  4.8177	  2.0136	 -0.0873	  1.0000
  3.2118	  4.8177	  1.9281	  0.3275	  1.0000
  3.5744	  4.8177	  4.9627	  1.2347	  0.0000
  3.9370	  4.8177	  1.2380	  0.7034	  1.0000
  4.2996	  4.8177	  0.9737	  1.0231	  1.0000
  4.6622	  4.8177	 11.8615	 11.8653	  0.0000
  5.0249	  4.8177	  4.2372	 -0.9915	  0.0000
  5.3875	  4.8177	  3.3426	  0.0990	  0.0000
  5.7501	  4.8177	  0.8369	  0.2596	  1.0000
  6.1127	  4.8177	  0.8024	 -0.5220	  1.0000
  6.4753	  4.8177	  0.8955	 -0.5410	  1.0000
  6.8380	  4.8177	 12.9610	  9.1920	  0.0000
  7.2006	  4.8177	  1.2499	 -1.7788	  1.0000
  7.5632	  4.8177	  1.0898	 -1.3687	  1.0000
  7.9258	  4.8177	  7.8232	-12.2497	  0.0000
  8.2884	  4.8177	  0.3436	 -1.8011	  1.0000
  8.6511	  4.8177	  0.0056	 -0.2033	  0.0000
  9.0137	  4.8177	  0.3693	 -7.1610	  0.0000
  0.3108	  4.4550	 -9.4690	 10.6240	  0.0000
  0.6734	  4.4550	  1.2215	 -7.7683	  0.0000
  1.0361	  4.4550	  1.5749	  0.4512	  1.0000
  1.3987	  4.4550	  1.6345	  0.2070	  1.0000
  1.7613	  4.4550	  6.2755	  1.4120	  0.0000
  2.1239	  4.4550	  2.1300	 -0.1219	  1.0000
  2.4865	  4.4550	  2.1218	 -0.3498	  1.0000
  2.8492	  4.4550	  5.4836	  0.7975	  0.0000
  3.2118	  4.4550	  6.8715	 -7.0469	  0.0000
  3.5744	  4.4550	-13.4313	-14.3495	  0.0000
  3.9370	  4.4550	  6.1057	 13.9629	  0.0000
  4.2996	  4.4550	-14.8280	 -8.4348	  0.0000
  4.6622	  4.4550	  0.7240	  1.7465	  1.0000
  5.0249	  4.4550	  0.8193	  1.2392	  1.0000
  5.3875	  4.4550	  0.7719	  0.7796	  1.0000
  5.7501	  4.4550	  0.9193	  0.6702	  1.0000
  6.1127	  4.4550	 12.9995	-10.0229	  0.0000
  6.4753	  4.4550	  0.8061	 -1.0726	  1.0000
  6.8380	  4.4550	  8.8606	  3.1063	  0.0000
  7.2006	  4.4550	  0.7403	 -2.2567	  1.0000
  7.5632	  4.4550	  0.7178	 -1.8530	  1.0000
  7.9258	  4.4550	  0.2647	 -1.8786	  1.0000
  8.2884	  4.4550	 -0.0091	 -2.3152	  1.0000
  8.6511	  4.4550	 -0.5972	  0.4533	  0.0000
  9.0137	  4.4550	 -0.0550	  0.1648	  0.0000
  0.3108	  4.0924	  0.3365	  1.1795	  1.0000
  0.6734	  4.0924	  0.6407	  0.8605	  1.0000
  1.0361	  4.0924	  0.8554	  0.4566	  1.0000
  1.3987	  4.0924	  0.3354	 -7.8768	  0.0000
  1.7613	  4.0924	  1.0837	 -0.0959	  1.0000
  2.1239	  4.0924	  1.7095	  0.1077	  1.0000
  2.4865	  4.0924	  1.7767	 -0.1710	  1.0000
  2.8492	  4.0924	  2.1095	  0.0006	  1.0000
  3.2118	  4.0924	  5.5973	  2.6202	  0.0000
  3.5744	  4.0924	  2.0425	  1.1480	  1.0000
  3.9370	  4.0924	  1.4375	  1.4435	  1.0000
  4.2996	  4.0924	  7.1834	 13.0209	  0.0000
  4.6622	  4.0924	  5.8811	 -7.9390	  0.0000
  5.0249	  4.0924	  0.9802	  1.5257	  1.0000
  5.3875	  4.0924	  4.9840	  3.2038	  0.0000
  5.7501	  4.0924	  0.8447	  1.1564	  1.0000
  6.1127	  4.0924	-14.7919	 -5.7852	  0.0000
  6.4753	  4.0924	  0.6743	 -0.6001	  1.0000
  6.8380	  4.0924	  0.5119	 -1.5417	  1.0000
  7.2006	  4.0924	  2.7515	 -6.6699	  0.0000
  7.5632	  4.0924	  0.7258	 -1.8140	  1.0000
  7.9258	  4.0924	  0.4927	 -2.0202	  1.0000
  8.2884	  4.0924	  0.3903	 -2.4427	  1.0000
  8.6511	  4.0924	  0.7614	 -1.9359	  1.0000
  9.0137	  4.0924	  0.0116	 -0.2768	  0.0000
  0.3108	  3.7298	  7.7765	 10.9333	  0.0000
  0.6734	  3.7298	  2.3223	  7.6478	  0.0000
  1.0361	  3.7298	  1.3553	  0.3280	  1.0000
  1.3987	  3.7298	  1.4614	  0.1343	  1.0000
  1.7613	  3.7298	  1.6867	 -0.6040	  1.0000
  2.1239	  3.7298	  2.0467	 -0.6655	  1.0000
  2.4865	  3.7298	  1.9845	 -0.9908	  1.0000
  2.8492	  3.7298	 -5.5022	 -8.9867	  0.0000
  3.2118	  3.7298	  1.7776	 -0.3323	  1.0000
  3.5744	  3.7298	  2.1357	  0.4640	  1.0000
  3.9370	  3.7298	  1.4409	  0.7895	  1.0000
  4.2996	  3.7298	  6.3009	  2.1455	  0.0000
  4.6622	  3.7298	  0.9550	  1.8378	  1.0000
  5.0249	  3.7298	  0.5471	  1.6247	  1.0000
  5.3875	  3.7298	 -7.0109	 14.1147	  0.0000
  5.7501	  3.7298	  0.2830	  1.2850	  1.0000
  6.1127	  3.7298	 -0.6238	  0.1028	  1.0000
  6.4753	  3.7298	  9.8053	  2.4856	  0.0000
  6.8380	  3.7298	-14.3883	  1.0584	  0.0000
  7.2006	  3.7298	 -7.8256	 -4.7379	  0.0000
  7.5632	  3.7298	  0.3358	 -1.5560	  1.0000
  7.9258	  3.7298	  0.1973	 -1.7481	  1.0000
  8.2884	  3.7298	  0.1806	 -2.2025	  1.0000
  8.6511	  3.7298	  0.6719	 -1.7457	  1.0000
  9.0137	  3.7298	 -0.1047	 -0.2103	  0.0000
  0.3108	  3.3672	  0.7184	  0.9455	  1.0000
  0.6734	  3.3672	  1.0763	  0.8372	  1.0000
  1.0361	  3.3672	  0.9891	  0.3813	  1.0000
  1.3987	  3.3672	  1.1405	  0.1935	  1.0000
  1.7613	  3.3672	  7.7302	  7.6168	  0.0000
  2.1239	  3.3672	  1.4841	 -0.6929	  1.0000
  2.4865	  3.3672	  1.5569	 -0.8689	  1.0000
  2.8492	  3.3672	  2.0883	 -0.2831	  1.0000
  3.2118	  3.3672	  1.6693	 -0.0796	  1.0000
  3.5744	  3.3672	  1.9047	  0.5244	  1.0000
  3.9370	  3.3672	  6.9064	  3.9289	  0.0000
  4.2996	  3.3672	  0.8600	  1.5247	  1.0000
  4.6622	  3.3672	  7.8598	 12.0100	  0.0000
  5.0249	  3.3672	-14.5296	  9.9581	  0.0000
  5.3875	  3.3672	 10.0584	  1.8472	  0.0000
  5.7501	  3.3672	 -0.9456	  1.0330	  1.0000
  6.1127	  3.3672	 -1.7128	  0.2033	  1.0000
  6.4753	  3.3672	 -0.8464	 -0.0024	  1.0000
  6.8380	  3.3672	 -0.9414	 -0.6962	  1.0000
  7.2006	  3.3672	 -7.8131	-13.0941	  0.0000
  7.5632	  3.3672	  0.1044	 -1.0655	  1.0000
  7.9258	  3.3672	  0.0039	 -1.1233	  1.0000
  8.2884	  3.3672	  0.3842	 -1.3994	  1.0000
  8.6511	  3.3672	  1.0948	 -0.9836	  1.0000
  9.0137	  3.3672	  0.7750	 -1.2586	  1.0000
  0.3108	  3.0046	  0.4184	 -0.0363	  0.0000
  0.6734	  3.0046	 -4.2297	 -8.7768	  0.0000
  1.0361	  3.0046	  0.9208	  0.6160	  1.0000
  1.3987	  3.0046	  1.0214	  0.3064	  1.0000
  1.7613	  3.0046	  0.9852	 -0.5913	  1.0000
  2.1239	  3.0046	 -6.2986	 -7.7413	  0.0000
  2.4865	  3.0046	  4.0707	  0.8615	  0.0000
  2.8492	  3.0046	  1.6791	 -0.2566	  1.0000
  3.2118	  3.0046	  1.6214	  0.1832	  1.0000
  3.5744	  3.0046	  1.8505	  0.7785	  1.0000
  3.9370	  3.0046	  7.6246	-10.2307	  0.0000
  4.2996	  3.0046	 -0.0051	  0.4832	  0.0000
  4.6622	  3.0046	  0.0200	  1.8750	  1.0000
  5.0249	  3.0046	-11.5337	 -7.6505	  0.0000
  5.3875	  3.0046	 -1.6358	  1.0424	  1.0000
  5.7501	  3.0046	 -2.3643	  0.7810	  1.0000
  6.1127	  3.0046	 -3.1239	  0.2142	  1.0000
