# x	y	u	v	mask
  0.3108	  6.9934	  0.3129	  0.9315	  1.0000
  0.6734	  6.9934	 -0.2610	 -2.0180	  0.0000
  1.0361	  6.9934	 -1.5841	 -5.9699	  0.0000
  1.3987	  6.9934	  1.0778	  2.3749	  1.0000
  1.7613	  6.9934	  1.0588	  2.3956	  1.0000
  2.1239	  6.9934	  0.6726	  2.7516	  1.0000
  2.4865	  6.9934	 13.6584	  9.9043	  0.0000
  2.8492	  6.9934	 -0.0837	  1.9807	  1.0000
  3.2118	  6.9934	-10.4628	 11.7742	  0.0000
  3.5744	  6.9934	  5.7668	 -1.5099	  0.0000
  3.9370	  6.9934	 -2.1063	  0.8793	  1.0000
  4.2996	  6.9934	 -0.6058	 -1.0525	  0.0000
  4.6622	  6.9934	 -1.4934	  0.5565	  1.0000
  5.0249	  6.9934	 -1.5727	  0.6246	  1.0000
  5.3875	  6.9934	 -1.3195	  0.7073	  1.0000
  5.7501	  6.9934	 -0.3977	  0.1979	  1.0000
  6.1127	  6.9934	 -0.2141	 -0.1367	  1.0000
  6.4753	  6.9934	 -0.0918	 -0.2737	  1.0000
  6.8380	  6.9934	  0.1778	 -0.3771	  1.0000
  7.2006	  6.9934	 -0.0713	 -0.3594	  1.0000
  7.5632	  6.9934	 -0.3219	 -0.5422	  1.0000
  7.9258	  6.9934	  0.4941	 -0.3579	  0.0000
  8.2884	  6.9934	  0.5832	 -0.4206	  0.0000
  8.6511	  6.9934	 -1.1998	 -0.7925	  1.0000
  9.0137	  6.9934	 -1.3997	 -0.8921	  1.0000
  0.3108	  6.6308	 -9.9466	  3.6850	  0.0000
  0.6734	  6.6308	 -0.0875	  1.2465	  1.0000
  1.0361	  6.6308	  0.1536	 -0.4925	  0.0000
  1.3987	  6.6308	  0.4956	  2.1242	  1.0000
  1.7613	  6.6308	  0.4213	  2.0898	  1.0000
  2.1239	  6.6308	 -7.5685	  6.9417	  0.0000
  2.4865	  6.6308	  0.1589	  1.9344	  1.0000
  2.8492	  6.6308	  1.0275	 -1.6089	  0.0000
  3.2118	  6.6308	 -0.4133	 -1.6680	  0.0000
  3.5744	  6.6308	 -3.0214	 -1.5890	  0.0000
  3.9370	  6.6308	 -1.7312	  0.4292	  1.0000
  4.2996	  6.6308	 -0.8768	 -0.2599	  0.0000
  4.6622	  6.6308	 -5.5511	 14.6254	  0.0000
  5.0249	  6.6308	 -1.1188	  0.5883	  1.0000
  5.3875	  6.6308	 -0.5519	 -4.2429	  0.0000
  5.7501	  6.6308	  8.0252	 -2.4004	  0.0000
  6.1127	  6.6308	  0.2714	 -0.3904	  0.0000
  6.4753	  6.6308	 -0.4485	  0.1279	  1.0000
  6.8380	  6.6308	  4.1042	 -3.5259	  0.0000
  7.2006	  6.6308	 -0.6007	 -0.2218	  1.0000
  7.5632	  6.6308	  0.6065	 -0.3186	  0.0000
  7.9258	  6.6308	 -0.6718	 -0.6825	  1.0000
  8.2884	  6.6308	 -0.9770	 -0.5380	  1.0000
  8.6511	  6.6308	 -8.0596	 -3.6964	  0.0000
  9.0137	  6.6308	 -1.2761	 -0.7250	  1.0000
  0.3108	  6.2681	  0.5173	  1.7602	  1.0000
  0.6734	  6.2681	  0.1236	 -1.2345	  0.0000
  1.0361	  6.2681	  0.6328	  2.1301	  1.0000
  1.3987	  6.2681	  0.8391	  2.1754	  1.0000
  1.7613	  6.2681	  0.7232	  2.0938	  1.0000
  2.1239	  6.2681	  0.6064	  1.9960	  1.0000
  2.4865	  6.2681	  0.1482	  1.5607	  1.0000
  2.8492	  6.2681	 -9.8924	  7.6362	  0.0000
  3.2118	  6.2681	  0.7086	-12.1352	  0.0000
  3.5744	  6.2681	 -1.1065	  0.4794	  1.0000
  3.9370	  6.2681	 -1.6885	  0.4155	  1.0000
  4.2996	  6.2681	-10.8937	  9.7899	  0.0000
  4.6622	  6.2681	 -1.3691	  0.7524	  1.0000
  5.0249	  6.2681	 -1.2410	  0.6388	  1.0000
  5.3875	  6.2681	 -0.5274	 -3.6235	  0.0000
  5.7501	  6.2681	 -0.8506	  0.5384	  1.0000
  6.1127	  6.2681	 -0.9432	  0.4658	  1.0000
  6.4753	  6.2681	 -0.6598	  0.0964	  1.0000
  6.8380	  6.2681	  0.4903	 -0.2011	  0.0000
  7.2006	  6.2681	 -0.7028	 -0.1959	  1.0000
  7.5632	  6.2681	 -0.7887	 -0.3600	  1.0000
  7.9258	  6.2681	 -0.6709	 -0.5883	  1.0000
  8.2884	  6.2681	 -0.8262	 -0.5037	  1.0000
  8.6511	  6.2681	  1.3090	 -0.4970	  0.0000
  9.0137	  6.2681	 -5.7154	 -0.6811	  0.0000
  0.3108	  5.9055	  0.9231	  1.0293	  1.0000
  0.6734	  5.9055	  1.2207	 -7.7872	  0.0000
  1.0361	  5.9055	 10.0032	 12.6112	  0.0000
  1.3987	  5.9055	  0.9873	  1.5662	  1.0000
  1.7613	  5.9055	  0.8307	  1.4701	  1.0000
  2.1239	  5.9055	 12.3659	 14.3409	  0.0000
  2.4865	  5.9055	  0.0732	  1.1853	  1.0000
  2.8492	  5.9055	 -0.3820	 -1.7410	  0.0000
  3.2118	  5.9055	 -1.0416	  0.8640	  1.0000
  3.5744	  5.9055	 -1.2269	  0.3830	  1.0000
  3.9370	  5.9055	 -0.6650	 -1.3151	  0.0000
  4.2996	  5.9055	 -7.6013	  1.1408	  0.0000
  4.6622	  5.9055	  2.0044	 -7.2121	  0.0000
  5.0249	  5.9055	 -1.3201	  0.1774	  1.0000
  5.3875	  5.9055	 -5.7708	  6.4732	  0.0000
  5.7501	  5.9055	 -2.0640	 -1.5502	  0.0000
  6.1127	  5.9055	 -1.2741	  0.0628	  1.0000
  6.4753	  5.9055	  0.0542	  3.1802	  0.0000
  6.8380	  5.9055	 -0.7230	 -0.1887	  1.0000
  7.2006	  5.9055	 -0.9390	 -0.0984	  1.0000
  7.5632	  5.9055	 -0.9448	 -0.2340	  1.0000
  7.9258	  5.9055	 -0.7946	 -0.4320	  1.0000
  8.2884	  5.9055	 -0.7796	 -0.3525	  1.0000
  8.6511	  5.9055	 -0.6960	 -0.4317	  1.0000
  9.0137	  5.9055	 -0.7850	 -0.3800	  1.0000
  0.3108	  5.5429	  0.8078	  1.2890	  1.0000
  0.6734	  5.5429	  0.7277	  1.1267	  1.0000
  1.0361	  5.5429	-13.4938	  2.0259	  0.0000
  1.3987	  5.5429	  0.4534	  1.2546	  1.0000
  1.7613	  5.5429	  0.2390	  1.0610	  1.0000
  2.1239	  5.5429	  0.1083	  0.8748	  1.0000
  2.4865	  5.5429	 -0.5362	  0.5089	  1.0000
  2.8492	  5.5429	 -0.8806	  0.0247	  1.0000
  3.2118	  5.5429	 -1.4096	  0.0815	  1.0000
  3.5744	  5.5429	 -0.7163	 -1.3706	  0.0000
  3.9370	  5.5429	 -0.5239	 -1.1701	  0.0000
  4.2996	  5.5429	 -1.7413	 -0.3514	  1.0000
  4.6622	  5.5429	  6.2009	 -4.8322	  0.0000
  5.0249	  5.5429	 -1.3238	 -1.1456	  0.0000
  5.3875	  5.5429	 -1.6229	  0.7806	  1.0000
  5.7501	  5.5429	  5.8702	  8.8218	  0.0000
  6.1127	  5.5429	 -1.5606	  0.4766	  1.0000
  6.4753	  5.5429	-14.6752	  3.9509	  0.0000
  6.8380	  5.5429	 -0.0365	 -3.1053	  0.0000
  7.2006	  5.5429	 -1.5666	  0.2100	  1.0000
  7.5632	  5.5429	  1.1610	 -0.8073	  0.0000
  7.9258	  5.5429	 -1.0729	 -0.2798	  1.0000
