# x	y	u	v	mask
  0.3108	  6.9934	  0.2064	 -3.0721	  1.0000
  0.6734	  6.9934	  0.2510	 -0.7176	  0.0000
  1.0361	  6.9934	-12.6940	 -9.4205	  0.0000
  1.3987	  6.9934	  7.5415	 -7.5891	  0.0000
  1.7613	  6.9934	  0.5665	 -0.4098	  1.0000
  2.1239	  6.9934	 -0.6715	 -1.4696	  0.0000
  2.4865	  6.9934	  0.1338	  0.8457	  1.0000
  2.8492	  6.9934	 10.7621	  5.9715	  0.0000
  3.2118	  6.9934	 -3.3961	  2.8370	  0.0000
  3.5744	  6.9934	 -1.7103	 -0.0217	  0.0000
  3.9370	  6.9934	 -1.5644	 -0.0680	  0.0000
  4.2996	  6.9934	 -1.4026	  1.0533	  1.0000
  4.6622	  6.9934	  7.9139	  8.3880	  0.0000
  5.0249	  6.9934	 -1.3451	  1.2218	  1.0000
  5.3875	  6.9934	 -1.1409	  1.2005	  1.0000
  5.7501	  6.9934	 -0.3102	  0.9324	  1.0000
  6.1127	  6.9934	  0.2853	  0.6630	  1.0000
  6.4753	  6.9934	 -0.0174	 -1.0630	  0.0000
  6.8380	  6.9934	 -0.4387	 -0.9647	  0.0000
  7.2006	  6.9934	  1.1273	 -1.0992	  1.0000
  7.5632	  6.9934	  0.5440	 -1.9405	  1.0000
  7.9258	  6.9934	 -7.7534	 -7.6757	  0.0000
  8.2884	  6.9934	  4.3472	 -4.2788	  0.0000
  8.6511	  6.9934	 -6.7543	 -7.6571	  0.0000
  9.0137	  6.9934	 -0.7031	 -4.1450	  1.0000
  0.3108	  6.6308	  0.2534	 -2.3850	  1.0000
  0.6734	  6.6308	 10.8187	 -9.8707	  0.0000
  1.0361	  6.6308	 -1.0618	 -0.1461	  0.0000
  1.3987	  6.6308	 -0.0409	 -1.1204	  1.0000
  1.7613	  6.6308	 -0.7323	 -0.4310	  0.0000
  2.1239	  6.6308	  0.2233	  0.7145	  1.0000
  2.4865	  6.6308	  0.2577	  0.9278	  1.0000
  2.8492	  6.6308	  0.0706	  0.8610	  1.0000
  3.2118	  6.6308	 -1.3090	 -0.1956	  0.0000
  3.5744	  6.6308	 -7.7675	 -4.9906	  0.0000
  3.9370	  6.6308	 -1.7467	 -0.7586	  0.0000
  4.2996	  6.6308	-12.8354	  6.2755	  0.0000
  4.6622	  6.6308	 -1.5591	  1.0437	  1.0000
  5.0249	  6.6308	 -1.3879	  1.1760	  1.0000
  5.3875	  6.6308	  7.6224	 10.0079	  0.0000
  5.7501	  6.6308	 -0.4654	  0.9195	  1.0000
  6.1127	  6.6308	  0.1008	  0.6536	  1.0000
  6.4753	  6.6308	  0.2253	 -0.6341	  0.0000
  6.8380	  6.6308	  0.2208	 -1.0751	  0.0000
  7.2006	  6.6308	 -0.9732	 -1.2015	  0.0000
  7.5632	  6.6308	  0.2916	 -1.4433	  1.0000
  7.9258	  6.6308	 13.1552	 -9.2489	  0.0000
  8.2884	  6.6308	  6.6407	 -5.2114	  0.0000
  8.6511	  6.6308	 -0.3072	 -0.6012	  0.0000
  9.0137	  6.6308	 -0.9694	 -3.2018	  1.0000
  0.3108	  6.2681	  0.1861	 -2.0205	  1.0000
  0.6734	  6.2681	  5.4016	 -7.6366	  0.0000
  1.0361	  6.2681	 -0.0174	 -0.9721	  0.0000
  1.3987	  6.2681	 -0.0332	 -0.4034	  1.0000
  1.7613	  6.2681	 -7.4243	  6.0866	  0.0000
  2.1239	  6.2681	  1.1354	 -1.5457	  0.0000
  2.4865	  6.2681	  0.1418	  1.3132	  1.0000
  2.8492	  6.2681	  7.5987	  7.7839	  0.0000
  3.2118	  6.2681	 -0.4042	  1.1667	  1.0000
  3.5744	  6.2681	 -1.7468	 -0.2885	  0.0000
  3.9370	  6.2681	 -1.0408	  1.5516	  1.0000
  4.2996	  6.2681	 -1.4626	  1.4508	  1.0000
  4.6622	  6.2681	 -6.6224	  0.6110	  0.0000
  5.0249	  6.2681	 -1.6711	  1.4093	  1.0000
  5.3875	  6.2681	 -1.8067	 -1.5625	  0.0000
  5.7501	  6.2681	 -1.2564	 -1.7088	  0.0000
  6.1127	  6.2681	 -7.2705	 -1.0396	  0.0000
  6.4753	  6.2681	  0.0147	 -0.0145	  1.0000
  6.8380	  6.2681	  0.1994	 -0.6572	  1.0000
  7.2006	  6.2681	  0.5220	 -1.1813	  1.0000
  7.5632	  6.2681	  0.3155	 -0.5706	  0.0000
  7.9258	  6.2681	 -7.9345	  5.5832	  0.0000
  8.2884	  6.2681	 -0.6121	 -2.5260	  1.0000
  8.6511	  6.2681	 -7.5531	 -7.6008	  0.0000
  9.0137	  6.2681	 -1.2348	 -3.0326	  1.0000
  0.3108	  5.9055	  0.0502	 -1.0802	  1.0000
  0.6734	  5.9055	  0.6634	 -7.5985	  0.0000
  1.0361	  5.9055	 -0.0408	 -0.1880	  1.0000
  1.3987	  5.9055	 -7.5761	 10.0162	  0.0000
  1.7613	  5.9055	  0.2560	  0.4587	  1.0000
  2.1239	  5.9055	  0.0808	  1.2455	  1.0000
  2.4865	  5.9055	  0.2276	  1.2968	  1.0000
  2.8492	  5.9055	 -0.0146	  1.0930	  1.0000
  3.2118	  5.9055	  7.5637	 -1.2156	  0.0000
  3.5744	  5.9055	 -0.4279	  1.4189	  1.0000
  3.9370	  5.9055	 -1.5370	 -2.1135	  0.0000
  4.2996	  5.9055	 -1.4635	 -0.3975	  0.0000
  4.6622	  5.9055	 -1.6094	  1.2482	  1.0000
  5.0249	  5.9055	 -1.1853	 -0.7143	  0.0000
  5.3875	  5.9055	 -2.0527	 -0.2295	  0.0000
  5.7501	  5.9055	 -0.5674	  1.1841	  1.0000
  6.1127	  5.9055	 -0.2739	  0.5676	  1.0000
  6.4753	  5.9055	 -0.0678	  0.1328	  1.0000
  6.8380	  5.9055	  5.9960	  4.4704	  0.0000
  7.2006	  5.9055	 12.7022	  7.6476	  0.0000
  7.5632	  5.9055	  0.2271	 -0.6283	  0.0000
  7.9258	  5.9055	  7.6795	 -4.4131	  0.0000
  8.2884	  5.9055	  0.4316	 -1.1311	  0.0000
  8.6511	  5.9055	 -7.5826	 -6.3627	  0.0000
  9.0137	  5.9055	 -1.1300	 -2.7314	  1.0000
  0.3108	  5.5429	  0.2986	 -0.5277	  1.0000
  0.6734	  5.5429	  0.4008	  0.1424	  1.0000
  1.0361	  5.5429	  0.3278	  0.5221	  1.0000
  1.3987	  5.5429	  0.2532	  0.5223	  1.0000
  1.7613	  5.5429	  0.1748	  0.9996	  1.0000
  2.1239	  5.5429	 -1.0324	 -0.8905	  0.0000
  2.4865	  5.5429	 -0.6940	 -1.6386	  0.0000
  2.8492	  5.5429	 -0.6404	 -0.9876	  0.0000
  3.2118	  5.5429	  8.0497	  8.8408	  0.0000
  3.5744	  5.5429	 -0.7705	  1.4171	  1.0000
  3.9370	  5.5429	 -1.2322	 -0.8070	  0.0000
  4.2996	  5.5429	 -1.4255	  1.5749	  1.0000
