# x	y	u	v	mask
  0.3108	  6.9934	 -4.9178	  1.2633	  1.0000
  0.6734	  6.9934	  1.0958	  0.5363	  0.0000
  1.0361	  6.9934	-11.0825	 -6.4016	  0.0000
  1.3987	  6.9934	 -3.2428	  0.4505	  1.0000
  1.7613	  6.9934	 -1.7043	  0.1703	  1.0000
  2.1239	  6.9934	 -0.0512	 -0.1167	  0.0000
  2.4865	  6.9934	  1.0593	  0.1124	  1.0000
  2.8492	  6.9934	 13.4404	  7.6542	  0.0000
  3.2118	  6.9934	  3.1443	  1.3012	  1.0000
  3.5744	  6.9934	  3.4326	  1.2321	  1.0000
  3.9370	  6.9934	  3.3397	  1.8116	  1.0000
  4.2996	  6.9934	  2.2723	  1.4050	  1.0000
  4.6622	  6.9934	  1.8152	  0.5833	  1.0000
  5.0249	  6.9934	  1.1744	  1.6614	  1.0000
  5.3875	  6.9934	  0.2862	  1.0008	  1.0000
  5.7501	  6.9934	 -0.0746	  0.4656	  1.0000
  6.1127	  6.9934	 -1.4700	  1.0193	  0.0000
  6.4753	  6.9934	  1.0759	  1.3626	  0.0000
  6.8380	  6.9934	-10.9442	 -8.9292	  0.0000
  7.2006	  6.9934	  0.0062	  0.8655	  1.0000
  7.5632	  6.9934	 -0.1441	  0.1028	  1.0000
  7.9258	  6.9934	 -6.7744	 -7.7033	  0.0000
  8.2884	  6.9934	  5.1167	 -2.8469	  0.0000
  8.6511	  6.9934	  0.4161	 -0.3161	  1.0000
  9.0137	  6.9934	  0.3715	 -0.5942	  1.0000
  0.3108	  6.6308	-11.3097	  7.4356	  0.0000
  0.6734	  6.6308	 -4.2943	  0.8797	  1.0000
  1.0361	  6.6308	 -3.8838	  0.8102	  1.0000
  1.3987	  6.6308	 -3.2199	  0.5209	  1.0000
  1.7613	  6.6308	 -1.9373	  0.1752	  1.0000
  2.1239	  6.6308	 -1.2740	  0.5821	  1.0000
  2.4865	  6.6308	  0.4874	  0.1405	  1.0000
  2.8492	  6.6308	  1.7332	  0.7255	  1.0000
  3.2118	  6.6308	  2.5114	  1.5564	  1.0000
  3.5744	  6.6308	  2.6228	  1.6118	  1.0000
  3.9370	  6.6308	  2.6159	  2.1529	  1.0000
  4.2996	  6.6308	  1.7657	  1.8363	  1.0000
  4.6622	  6.6308	  1.2263	  1.1523	  1.0000
  5.0249	  6.6308	  0.6537	  1.9391	  1.0000
  5.3875	  6.6308	 -0.4987	  0.7577	  1.0000
  5.7501	  6.6308	  4.1557	-12.4388	  0.0000
  6.1127	  6.6308	 -2.3063	 10.8784	  0.0000
  6.4753	  6.6308	 -0.8232	  0.2164	  1.0000
  6.8380	  6.6308	  0.6157	  0.5565	  0.0000
  7.2006	  6.6308	 -0.2496	  0.6366	  1.0000
  7.5632	  6.6308	 -0.3095	  0.0844	  1.0000
  7.9258	  6.6308	 -0.1266	  0.4272	  1.0000
  8.2884	  6.6308	 -0.0712	  0.6155	  1.0000
  8.6511	  6.6308	 -0.0147	  0.5067	  0.0000
  9.0137	  6.6308	  0.0039	  0.1943	  1.0000
  0.3108	  6.2681	 -4.0168	  2.0497	  1.0000
  0.6734	  6.2681	  4.9737	 -7.6794	  0.0000
  1.0361	  6.2681	-13.8650	 13.7773	  0.0000
  1.3987	  6.2681	 -3.0409	  0.6576	  1.0000
  1.7613	  6.2681	 -1.9671	  0.2991	  1.0000
  2.1239	  6.2681	  0.4673	 -0.6243	  0.0000
  2.4865	  6.2681	  0.2937	  0.1552	  1.0000
  2.8492	  6.2681	  1.3017	  0.6024	  1.0000
  3.2118	  6.2681	  2.0512	  1.3445	  1.0000
  3.5744	  6.2681	  5.2317	-11.9780	  0.0000
  3.9370	  6.2681	  2.1274	  1.9018	  1.0000
  4.2996	  6.2681	  1.4441	  1.6495	  1.0000
  4.6622	  6.2681	  0.9856	  1.0345	  1.0000
  5.0249	  6.2681	  0.5450	  1.6120	  1.0000
  5.3875	  6.2681	 -9.7650	 -6.1341	  0.0000
  5.7501	  6.2681	  0.7011	 -1.5192	  0.0000
  6.1127	  6.2681	 10.5913	  9.9057	  0.0000
  6.4753	  6.2681	 -0.4233	  0.3379	  1.0000
  6.8380	  6.2681	  8.1963	  4.8091	  0.0000
  7.2006	  6.2681	  0.1521	  0.6210	  1.0000
  7.5632	  6.2681	  3.4824	  4.2745	  0.0000
  7.9258	  6.2681	 -0.7689	  0.4508	  0.0000
  8.2884	  6.2681	  0.3341	  0.6767	  1.0000
  8.6511	  6.2681	  0.4549	  0.2849	  1.0000
  9.0137	  6.2681	  0.3602	  0.1348	  1.0000
  0.3108	  5.9055	 -3.3838	  2.1672	  1.0000
  0.6734	  5.9055	 -3.7208	  1.0126	  1.0000
  1.0361	  5.9055	 -3.4368	  0.9008	  1.0000
  1.3987	  5.9055	 -2.9151	  0.6118	  1.0000
  1.7613	  5.9055	 -6.7260	 -5.1196	  0.0000
  2.1239	  5.9055	 -1.4691	  0.6176	  1.0000
  2.4865	  5.9055	 -0.1499	  0.3519	  1.0000
  2.8492	  5.9055	  0.6679	  0.6900	  1.0000
  3.2118	  5.9055	  1.6213	  1.4812	  1.0000
  3.5744	  5.9055	  7.8801	 -2.5202	  0.0000
  3.9370	  5.9055	 10.0125	 11.8258	  0.0000
  4.2996	  5.9055	  3.2687	  7.6145	  0.0000
  4.6622	  5.9055	 -1.0427	  0.6615	  0.0000
  5.0249	  5.9055	  0.9477	  1.6991	  1.0000
  5.3875	  5.9055	  0.0934	  0.7779	  1.0000
  5.7501	  5.9055	 -0.1431	  0.4461	  1.0000
  6.1127	  5.9055	 -0.3198	  0.3742	  1.0000
  6.4753	  5.9055	 -0.3259	  0.1658	  1.0000
  6.8380	  5.9055	 -0.1113	  0.1256	  1.0000
  7.2006	  5.9055	 -7.1287	  6.1156	  0.0000
  7.5632	  5.9055	  0.0713	  0.1719	  1.0000
  7.9258	  5.9055	  0.2873	  0.4479	  1.0000
  8.2884	  5.9055	  7.7719	 -0.5347	  0.0000
  8.6511	  5.9055	 -0.4797	  0.3149	  0.0000
  9.0137	  5.9055	  0.4798	  0.2583	  1.0000
  0.3108	  5.5429	 -2.6707	  2.2393	  1.0000
  0.6734	  5.5429	 -3.1433	  1.1026	  1.0000
  1.0361	  5.5429	 -2.9986	  1.0029	  1.0000
  1.3987	  5.5429	  0.2676	 12.7103	  0.0000
  1.7613	  5.5429	 -6.8368	-12.3116	  0.0000
  2.1239	  5.5429	 -1.7497	  0.7162	  1.0000
  2.4865	  5.5429	 -0.7589	  0.3047	  1.0000
  2.8492	  5.5429	 -0.1240	  0.5258	  1.0000
  3.2118	  5.5429	 -1.6382	 -0.3121	  0.0000
  3.5744	  5.5429	  1.1902	  1.5146	  1.0000
  3.9370	  5.5429	  4.7520	 14.9671	  0.0000
  4.2996	  5.5429	  1.2585	  1.6798	  1.0000
  4.6622	  5.5429	 -7.8185	  4.8559	  0.0000
  5.0249	  5.5429	  0.8338	  1.2274	  1.0000
  5.3875	  5.5429	  0.0966	  0.3141	  1.0000
  5.7501	  5.5429	 -7.7186	 -1.2418	  0.0000
  6.1127	  5.5429	 -0.0236	  0.0033	  1.0000
  6.4753	  5.5429	-10.7152	 -7.8854	  0.0000
  6.8380	  5.5429	  0.4139	  0.1109	  1.0000
  7.2006	  5.5429	  0.5746	  0.5670	  1.0000
  7.5632	  5.5429	  0.5951	  0.4648	  1.0000
  7.9258	  5.5429	  0.8371	  0.8546	  1.0000
  8.2884	  5.5429	 -0.5172	  2.3016	  0.0000
  8.6511	  5.5429	  0.9622	  0.8353	  1.0000
  9.0137	  5.5429	 -7.5922	  7.8202	  0.0000
  0.3108	  5.1803	 -1.7792	  1.5882	  1.0000
  0.6734	  5.1803	  0.5386	  0.8002	  0.0000
  1.0361	  5.1803	 -7.6288	  7.7928	  0.0000
  1.3987	  5.1803	  0.4071	  0.2300	  0.0000
  1.7613	  5.1803	 -2.0678	  0.1050	  1.0000
  2.1239	  5.1803	 -1.8278	  0.5842	  1.0000
  2.4865	  5.1803	 -0.9456	  0.1375	  1.0000
  2.8492	  5.1803	 -0.8630	 -0.7672	  0.0000
  3.2118	  5.1803	  0.5182	  1.3283	  1.0000
  3.5744	  5.1803	  0.9502	  1.2553	  1.0000
  3.9370	  5.1803	 -0.8577	 -1.4650	  0.0000
  4.2996	  5.1803	  1.4384	  1.4124	  1.0000
  4.6622	  5.1803	 -6.5828	 -0.3693	  0.0000
  5.0249	  5.1803	  1.2969	  1.0225	  1.0000
  5.3875	  5.1803	  0.6804	  0.0031	  1.0000
  5.7501	  5.1803	  0.9349	  0.0376	  1.0000
  6.1127	  5.1803	  2.9684	 -1.6348	  0.0000
  6.4753	  5.1803	  0.6840	 -0.0793	  1.0000
  6.8380	  5.1803	  1.1528	  0.1839	  1.0000
  7.2006	  5.1803	  3.7331	  5.2272	  0.0000
  7.5632	  5.1803	  1.3281	  0.5138	  1.0000
  7.9258	  5.1803	  5.5047	 -3.2825	  0.0000
  8.2884	  5.1803	 -0.0320	  0.4116	  0.0000
  8.6511	  5.1803	  1.4160	  0.7469	  1.0000
  9.0137	  5.1803	  1.2776	  0.7754	  1.0000
  0.3108	  4.8177	 -0.8867	  1.7637	  1.0000
  0.6734	  4.8177	 -1.6656	  0.6773	  1.0000
  1.0361	  4.8177	 -1.7763	  0.6366	  1.0000
  1.3987	  4.8177	  3.8002	  7.6778	  0.0000
  1.7613	  4.8177	-14.1822	 -8.5446	  0.0000
  2.1239	  4.8177	 -1.4261	  0.2305	  1.0000
  2.4865	  4.8177	 -0.8474	  0.3347	  1.0000
  2.8492	  4.8177	 -1.0326	  0.0055	  0.0000
  3.2118	  4.8177	  0.6330	  1.5374	  1.0000
  3.5744	  4.8177	 -7.5582	  8.9572	  0.0000
  3.9370	  4.8177	  1.5347	  5.4645	  0.0000
  4.2996	  4.8177	  1.0546	 -0.9450	  0.0000
  4.6622	  4.8177	 14.5979	 11.1465	  0.0000
  5.0249	  4.8177	  1.9140	  0.6246	  1.0000
  5.3875	  4.8177	  1.3059	 -0.4008	  1.0000
  5.7501	  4.8177	  1.4030	 -0.4490	  1.0000
  6.1127	  4.8177	  1.2769	 -0.3948	  1.0000
  6.4753	  4.8177	  1.0050	 -0.6368	  1.0000
  6.8380	  4.8177	  1.2212	 -0.4600	  1.0000
  7.2006	  4.8177	 -4.2777	 -4.3049	  0.0000
  7.5632	  4.8177	  1.5691	  0.0791	  1.0000
  7.9258	  4.8177	  1.6696	  0.5794	  1.0000
  8.2884	  4.8177	  1.4768	  0.4800	  1.0000
  8.6511	  4.8177	 -0.0161	  0.7907	  0.0000
  9.0137	  4.8177	  1.6211	  0.6845	  1.0000
  0.3108	  4.4550	 -0.1076	  1.2185	  1.0000
  0.6734	  4.4550	  1.3759	 -7.8521	  0.0000
  1.0361	  4.4550	 -0.9891	  0.2975	  1.0000
  1.3987	  4.4550	 -1.2085	  0.5072	  1.0000
  1.7613	  4.4550	 -1.1772	  0.3047	  1.0000
  2.1239	  4.4550	 -1.2055	  0.3919	  1.0000
  2.4865	  4.4550	 -0.8323	  0.5642	  1.0000
  2.8492	  4.4550	 -0.5267	  0.7927	  1.0000
  3.2118	  4.4550	  0.4275	 -1.7355	  0.0000
  3.5744	  4.4550	  0.8178	  1.2337	  1.0000
  3.9370	  4.4550	  0.2882	 -1.8855	  0.0000
  4.2996	  4.4550	  1.8785	  0.7217	  1.0000
  4.6622	  4.4550	  2.5582	 -3.6078	  0.0000
  5.0249	  4.4550	  5.3392	 -2.1837	  0.0000
  5.3875	  4.4550	  1.7817	 -0.8473	  1.0000
  5.7501	  4.4550	  1.8725	 -0.9838	  1.0000
  6.1127	  4.4550	 -6.7436	 -8.3987	  0.0000
  6.4753	  4.4550	  1.7051	 -1.2486	  1.0000
  6.8380	  4.4550	  1.9027	 -1.1575	  1.0000
  7.2006	  4.4550	  1.9107	 -0.9501	  1.0000
  7.5632	  4.4550	  1.9833	 -0.6079	  1.0000
  7.9258	  4.4550	  6.8227	  3.2093	  0.0000
  8.2884	  4.4550	  1.8845	 -0.0237	  1.0000
  8.6511	  4.4550	  1.8608	  0.1504	  1.0000
  9.0137	  4.4550	  1.6459	  0.2801	  1.0000
  0.3108	  4.0924	  0.2757	 -0.1723	  1.0000
  0.6734	  4.0924	 -0.3368	 -0.3885	  1.0000
  1.0361	  4.0924	 -0.7826	 -0.3121	  1.0000
  1.3987	  4.0924	  0.4716	 -7.7558	  0.0000
  1.7613	  4.0924	 -1.0938	  0.1994	  1.0000
  2.1239	  4.0924	 -1.0707	  0.5117	  1.0000
  2.4865	  4.0924	 -0.6550	  0.5040	  1.0000
  2.8492	  4.0924	 -0.2808	  0.6573	  1.0000
  3.2118	  4.0924	  0.4739	  0.8530	  1.0000
  3.5744	  4.0924	  1.4765	  0.6413	  1.0000
  3.9370	  4.0924	  2.0665	  7.3175	  0.0000
  4.2996	  4.0924	  2.4584	  0.1611	  1.0000
  4.6622	  4.0924	  3.8095	-12.6965	  0.0000
  5.0249	  4.0924	  8.8080	  7.6448	  0.0000
  5.3875	  4.0924	  2.6548	 -0.7242	  1.0000
  5.7501	  4.0924	  2.9590	 -0.9981	  1.0000
  6.1127	  4.0924	  2.7146	 -0.9768	  1.0000
  6.4753	  4.0924	  2.4385	 -1.0894	  1.0000
  6.8380	  4.0924	 13.0315	 10.5022	  0.0000
  7.2006	  4.0924	  2.5977	 -1.1186	  1.0000
  7.5632	  4.0924	  2.6046	 -0.8601	  1.0000
  7.9258	  4.0924	  4.1868	  0.0474	  0.0000
  8.2884	  4.0924	  2.8874	 -0.0333	  0.0000
  8.6511	  4.0924	  2.1834	 -0.3705	  1.0000
  9.0137	  4.0924	 -0.1332	  0.3121	  0.0000
  0.3108	  3.7298	  7.8085	 10.3531	  0.0000
  0.6734	  3.7298	  2.8145	  7.7067	  0.0000
  1.0361	  3.7298	 -1.4860	 -0.9049	  0.0000
  1.3987	  3.7298	 -0.4791	 -0.5869	  1.0000
  1.7613	  3.7298	 -0.3911	 -0.4291	  1.0000
  2.1239	  3.7298	 -0.3974	 -0.1171	  1.0000
  2.4865	  3.7298	 -0.2368	  0.1814	  1.0000
  2.8492	  3.7298	 14.4683	  7.7155	  0.0000
  3.2118	  3.7298	 -3.6071	 -2.8426	  0.0000
  3.5744	  3.7298	  2.2166	  0.4296	  1.0000
  3.9370	  3.7298	  3.3081	  0.2162	  1.0000
  4.2996	  3.7298	  3.0806	  0.0254	  1.0000
  4.6622	  3.7298	  3.1798	 -0.3129	  1.0000
  5.0249	  3.7298	  7.8640	 -2.8645	  0.0000
  5.3875	  3.7298	  7.5627	 -2.7008	  0.0000
  5.7501	  3.7298	  3.1687	 -1.4354	  1.0000
  6.1127	  3.7298	  2.7003	 -1.5897	  1.0000
  6.4753	  3.7298	  2.3007	 -1.6639	  1.0000
  6.8380	  3.7298	  3.6332	 -1.0641	  0.0000
  7.2006	  3.7298	  2.6056	 -1.5482	  1.0000
  7.5632	  3.7298	  2.4895	 -1.1943	  1.0000
  7.9258	  3.7298	  4.1766	 -0.3472	  0.0000
  8.2884	  3.7298	  3.6304	 -0.8410	  0.0000
  8.6511	  3.7298	  2.0100	 -0.5044	  1.0000
  9.0137	  3.7298	 -0.0511	  0.3523	  0.0000
  0.3108	  3.3672	  0.9662	 -1.3168	  1.0000
  0.6734	  3.3672	  0.6382	 -0.9803	  1.0000
  1.0361	  3.3672	  0.1261	 -0.7635	  1.0000
  1.3987	  3.3672	 -0.1097	 -0.4960	  1.0000
  1.7613	  3.3672	 -0.0975	 -0.4232	  1.0000
  2.1239	  3.3672	 -0.1767	 -0.1094	  1.0000
  2.4865	  3.3672	-10.4567	 14.3167	  0.0000
  2.8492	  3.3672	  0.9809	  0.3795	  1.0000
  3.2118	  3.3672	  1.5217	  0.3662	  1.0000
  3.5744	  3.3672	  2.8152	 -2.2955	  0.0000
  3.9370	  3.3672	  3.4375	 -0.3136	  1.0000
  4.2996	  3.3672	  3.0186	 -0.2722	  1.0000
  4.6622	  3.3672	  3.1389	 -0.5596	  1.0000
  5.0249	  3.3672	  3.0116	 -0.8412	  1.0000
  5.3875	  3.3672	  3.0124	 -2.8959	  0.0000
  5.7501	  3.3672	  3.0279	 -1.2888	  1.0000
  6.1127	  3.3672	  2.9336	 -1.2006	  1.0000
  6.4753	  3.3672	  4.1990	 -0.5987	  0.0000
  6.8380	  3.3672	 -1.0767	-13.1481	  0.0000
  7.2006	  3.3672	  2.9487	 -1.7364	  1.0000
  7.5632	  3.3672	  2.8615	 -1.4453	  1.0000
  7.9258	  3.3672	  2.4393	 -7.7162	  0.0000
  8.2884	  3.3672	  2.0699	 -1.2481	  1.0000
  8.6511	  3.3672	  1.8912	 -1.0635	  1.0000
  9.0137	  3.3672	  1.6260	 -0.9946	  1.0000
  0.3108	  3.0046	  4.7625	-13.8441	  0.0000
  0.6734	  3.0046	 -3.5715	 -7.9116	  0.0000
  1.0361	  3.0046	  0.1040	 -0.4404	  1.0000
  1.3987	  3.0046	 -0.3692	  0.0438	  1.0000
  1.7613	  3.0046	 -0.3099	  0.1902	  1.0000
  2.1239	  3.0046	-12.0778	  0.9309	  0.0000
  2.4865	  3.0046	  0.1806	  0.2168	  1.0000
  2.8492	  3.0046	  1.1325	  0.6381	  1.0000
  3.2118	  3.0046	  1.9086	  0.7877	  1.0000
  3.5744	  3.0046	  7.6069	 -7.6644	  0.0000
  3.9370	  3.0046	  4.1110	  0.1807	  1.0000
  4.2996	  3.0046	  3.5011	  0.3777	  1.0000
  4.6622	  3.0046	  7.7196	 -3.0170	  0.0000
  5.0249	  3.0046	  6.5818	 -3.1614	  0.0000
  5.3875	  3.0046	 -7.4181	  9.0547	  0.0000
  5.7501	  3.0046	  2.7844	 -0.3225	  1.0000
  6.1127	  3.0046	  2.4612	 -0.1664	  1.0000
  6.4753	  3.0046	  1.9357	 -0.4587	  1.0000
  6.8380	  3.0046	 13.5008	 -7.6358	  0.0000
  7.2006	  3.0046	  2.3966	 -1.1742	  1.0000
  7.5632	  3.0046	  2.1511	 -1.0943	  1.0000
  7.9258	  3.0046	  1.8740	 -1.1630	  1.0000
  8.2884	  3.0046	  1.5639	 -1.1200	  1.0000
  8.6511	  3.0046	  1.6302	 -1.1763	  1.0000
  9.0137	  3.0046	 -0.0420	 -0.0623	  0.0000
  0.3108	  2.6419	  0.9690	 -0.2852	  1.0000
