# x	y	u	v	mask
  0.3108	  6.9934	  2.5801	  4.3823	  1.0000
  0.6734	  6.9934	  2.5390	  4.1692	  1.0000
  1.0361	  6.9934	-10.3395	 13.3801	  0.0000
  1.3987	  6.9934	  0.0782	  0.0204	  0.0000
  1.7613	  6.9934	  2.2214	  3.2937	  1.0000
  2.1239	  6.9934	 -7.6876	 -6.6861	  0.0000
  2.4865	  6.9934	  2.1672	  1.9628	  1.0000
  2.8492	  6.9934	 10.4784	  8.1992	  0.0000
  3.2118	  6.9934	  1.6422	  1.1668	  1.0000
  3.5744	  6.9934	  3.1078	 -0.4811	  0.0000
  3.9370	  6.9934	  1.1003	  0.4191	  1.0000
  4.2996	  6.9934	  0.3995	 -0.0469	  1.0000
  4.6622	  6.9934	  0.1170	  0.1536	  1.0000
  5.0249	  6.9934	  0.5501	 -3.3718	  0.0000
  5.3875	  6.9934	 -1.0545	  0.6115	  0.0000
  5.7501	  6.9934	 -0.6186	  0.3398	  1.0000
  6.1127	  6.9934	  0.5972	  1.3946	  0.0000
  6.4753	  6.9934	 -0.7974	  0.9618	  1.0000
  6.8380	  6.9934	 -0.6059	  0.9673	  1.0000
  7.2006	  6.9934	 -0.4093	  0.7131	  1.0000
  7.5632	  6.9934	 -0.2941	  0.7384	  1.0000
  7.9258	  6.9934	 -0.0450	 -0.1609	  0.0000
  8.2884	  6.9934	  0.0206	 -0.1036	  0.0000
  8.6511	  6.9934	  0.0613	  0.2044	  1.0000
  9.0137	  6.9934	  0.1082	  0.2193	  1.0000
  0.3108	  6.6308	  0.8572	  0.0234	  0.0000
  0.6734	  6.6308	  2.6937	  2.9924	  1.0000
  1.0361	  6.6308	  7.9309	  9.7291	  0.0000
  1.3987	  6.6308	  8.2234	  4.2754	  0.0000
  1.7613	  6.6308	  2.6442	  2.8217	  1.0000
  2.1239	  6.6308	  2.6097	  2.4929	  1.0000
  2.4865	  6.6308	 -1.1433	  0.6550	  0.0000
  2.8492	  6.6308	  2.2835	  1.9064	  1.0000
  3.2118	  6.6308	 -2.0266	 -3.0423	  0.0000
  3.5744	  6.6308	  1.8431	  0.9065	  1.0000
  3.9370	  6.6308	  1.0215	  0.0428	  1.0000
  4.2996	  6.6308	  0.6411	 -0.2007	  1.0000
  4.6622	  6.6308	  0.1647	 -0.0257	  1.0000
  5.0249	  6.6308	 -0.1658	 -0.1001	  1.0000
  5.3875	  6.6308	 -1.0125	  0.4613	  0.0000
  5.7501	  6.6308	 -0.3217	  0.3229	  1.0000
  6.1127	  6.6308	  0.1579	 -0.2199	  0.0000
  6.4753	  6.6308	 -0.1858	  0.8973	  1.0000
  6.8380	  6.6308	 -0.1703	  0.6835	  1.0000
  7.2006	  6.6308	  0.0250	  0.4296	  1.0000
  7.5632	  6.6308	  0.1573	  0.4269	  1.0000
  7.9258	  6.6308	  0.0981	  0.0200	  0.0000
  8.2884	  6.6308	 -0.0046	  0.0585	  0.0000
  8.6511	  6.6308	 -0.1744	  0.1408	  1.0000
  9.0137	  6.6308	 -0.1863	  0.1486	  1.0000
  0.3108	  6.2681	  1.1424	  7.6779	  0.0000
  0.6734	  6.2681	  2.7606	  2.8270	  1.0000
  1.0361	  6.2681	  2.5681	  2.5958	  1.0000
  1.3987	  6.2681	  2.7103	  2.7158	  1.0000
  1.7613	  6.2681	  2.4718	  2.6950	  1.0000
  2.1239	  6.2681	  2.5172	  2.4966	  1.0000
  2.4865	  6.2681	  2.4489	  2.2467	  1.0000
  2.8492	  6.2681	  0.3392	  1.6157	  0.0000
  3.2118	  6.2681	  0.9642	  0.9277	  0.0000
  3.5744	  6.2681	  0.3468	  1.2903	  0.0000
  3.9370	  6.2681	  1.0524	  0.4775	  1.0000
  4.2996	  6.2681	  0.6952	  0.2333	  1.0000
  4.6622	  6.2681	  0.1174	  0.1418	  1.0000
  5.0249	  6.2681	 -0.2087	  0.0735	  1.0000
  5.3875	  6.2681	 -0.8038	  0.5241	  0.0000
  5.7501	  6.2681	 -4.4042	  6.3706	  0.0000
  6.1127	  6.2681	 -0.6999	  0.2580	  1.0000
  6.4753	  6.2681	-13.3181	-11.2831	  0.0000
