# x	y	u	v	mask
  0.3108	  6.9934	 -7.5457	 -8.6568	  0.0000
  0.6734	  6.9934	  0.5602	  1.9648	  0.0000
  1.0361	  6.9934	  0.9774	  0.7973	  1.0000
  1.3987	  6.9934	  0.2182	  0.0345	  0.0000
  1.7613	  6.9934	  0.4646	  0.7154	  1.0000
  2.1239	  6.9934	 -3.0772	  0.1047	  0.0000
  2.4865	  6.9934	 -2.9807	  0.3910	  0.0000
  2.8492	  6.9934	 -1.0446	 -1.7122	  1.0000
  3.2118	  6.9934	 -1.5929	 -2.1991	  1.0000
  3.5744	  6.9934	 -2.0010	 -2.3065	  1.0000
  3.9370	  6.9934	 -0.4932	  1.0669	  0.0000
  4.2996	  6.9934	 -2.3656	 -1.6244	  1.0000
  4.6622	  6.9934	 -2.1607	 -0.7668	  1.0000
  5.0249	  6.9934	 -2.2448	  0.9755	  1.0000
  5.3875	  6.9934	 -1.8051	  1.6320	  1.0000
  5.7501	  6.9934	 -1.4924	  2.1591	  1.0000
  6.1127	  6.9934	 -0.7454	  2.4490	  1.0000
  6.4753	  6.9934	  0.0248	  2.7487	  1.0000
  6.8380	  6.9934	  0.3771	  2.1126	  1.0000
  7.2006	  6.9934	  0.5892	  1.4705	  1.0000
  7.5632	  6.9934	  9.3566	 11.2336	  0.0000
  7.9258	  6.9934	 -0.0746	 -0.4347	  0.0000
  8.2884	  6.9934	 -0.0927	 -0.3008	  0.0000
  8.6511	  6.9934	 -7.8123	  0.2091	  0.0000
  9.0137	  6.9934	-13.6532	 -7.8130	  0.0000
  0.3108	  6.6308	  1.3389	 -0.1109	  1.0000
  0.6734	  6.6308	  1.5355	  0.3575	  1.0000
  1.0361	  6.6308	  0.3787	 -0.1189	  0.0000
  1.3987	  6.6308	  0.9260	  0.3112	  1.0000
  1.7613	  6.6308	  8.3794	  7.3327	  0.0000
  2.1239	  6.6308	  0.5565	 -0.4495	  1.0000
  2.4865	  6.6308	 -0.0776	 -1.3079	  1.0000
  2.8492	  6.6308	 -0.4472	 -1.5873	  1.0000
  3.2118	  6.6308	 -6.7991	 -6.3356	  0.0000
  3.5744	  6.6308	  7.6713	-14.1437	  0.0000
  3.9370	  6.6308	 -1.3986	 -2.3265	  1.0000
  4.2996	  6.6308	 -1.7884	 -1.4830	  1.0000
  4.6622	  6.6308	 -6.6189	  2.2929	  0.0000
  5.0249	  6.6308	 -2.0711	  0.6088	  1.0000
  5.3875	  6.6308	 -1.4728	  1.4625	  1.0000
  5.7501	  6.6308	 -0.1860	  7.7395	  0.0000
  6.1127	  6.6308	  0.7536	 -0.4653	  0.0000
  6.4753	  6.6308	  0.1721	  2.2318	  1.0000
  6.8380	  6.6308	  0.5033	  1.6889	  1.0000
  7.2006	  6.6308	  0.7659	  1.0961	  1.0000
  7.5632	  6.6308	  0.0703	 -0.4646	  0.0000
  7.9258	  6.6308	  0.1022	 -0.2562	  1.0000
  8.2884	  6.6308	 -0.0135	 -0.7186	  1.0000
  8.6511	  6.6308	 -0.5623	 -0.4968	  1.0000
