# x	y	u	v	mask
  0.3108	  6.9934	 -7.5881	  2.0977	  0.0000
  0.6734	  6.9934	 -0.8266	  0.7392	  0.0000
  1.0361	  6.9934	  7.6112	 -7.6481	  0.0000
  1.3987	  6.9934	 -0.5039	 -1.2202	  1.0000
  1.7613	  6.9934	 -0.2342	 -1.7301	  1.0000
  2.1239	  6.9934	  0.1823	 -1.5886	  1.0000
  2.4865	  6.9934	 -0.3042	 -0.8586	  1.0000
  2.8492	  6.9934	 11.8542	-14.1629	  0.0000
  3.2118	  6.9934	 -0.6946	 -0.8442	  1.0000
  3.5744	  6.9934	 -0.7249	 -0.6057	  1.0000
  3.9370	  6.9934	 -0.3008	 -1.5836	  1.0000
  4.2996	  6.9934	  0.9689	 -7.9785	  0.0000
  4.6622	  6.9934	  0.7328	 -0.8378	  1.0000
  5.0249	  6.9934	 -0.6395	 -1.6141	  0.0000
  5.3875	  6.9934	  1.7087	 -1.4190	  1.0000
  5.7501	  6.9934	  2.2831	 -1.1286	  1.0000
  6.1127	  6.9934	  2.8804	 -1.4146	  1.0000
  6.4753	  6.9934	  2.7155	 -1.0840	  1.0000
  6.8380	  6.9934	  2.6261	 -1.1083	  1.0000
  7.2006	  6.9934	  1.7341	 -1.3380	  1.0000
  7.5632	  6.9934	  1.2441	 -1.3413	  1.0000
  7.9258	  6.9934	  0.0469	  0.0865	  0.0000
  8.2884	  6.9934	  0.1388	  0.3094	  0.0000
  8.6511	  6.9934	 -1.8657	 -1.1727	  1.0000
  9.0137	  6.9934	-12.6707	 -7.9180	  0.0000
  0.3108	  6.6308	 -1.5147	 -1.5783	  1.0000
  0.6734	  6.6308	 -0.8746	 -2.0074	  1.0000
  1.0361	  6.6308	 -0.9405	 -2.3047	  1.0000
  1.3987	  6.6308	 -0.9434	 -1.5415	  1.0000
  1.7613	  6.6308	 -0.6384	 -1.9317	  1.0000
  2.1239	  6.6308	 -0.2587	 -1.7846	  1.0000
  2.4865	  6.6308	  1.1151	 -1.7204	  0.0000
  2.8492	  6.6308	 -2.1048	 -1.0477	  0.0000
  3.2118	  6.6308	 -0.2645	 -1.1028	  0.0000
  3.5744	  6.6308	 -0.5706	 -0.8858	  0.0000
  3.9370	  6.6308	 -0.5446	 -1.1010	  0.0000
  4.2996	  6.6308	 -0.1353	 -0.8764	  1.0000
  4.6622	  6.6308	  0.5389	 -0.6750	  1.0000
  5.0249	  6.6308	  7.6190	 -9.3391	  0.0000
  5.3875	  6.6308	  1.3675	 -1.0782	  1.0000
  5.7501	  6.6308	 10.7013	  6.1225	  0.0000
  6.1127	  6.6308	 -0.3461	  0.2589	  0.0000
  6.4753	  6.6308	  1.8601	 -0.6412	  1.0000
  6.8380	  6.6308	  7.7531	  6.6468	  0.0000
  7.2006	  6.6308	  1.0319	 -0.9192	  1.0000
  7.5632	  6.6308	 -0.0827	  0.3169	  0.0000
  7.9258	  6.6308	 -0.5714	 -0.9107	  1.0000
  8.2884	  6.6308	 -1.1983	 -1.0067	  1.0000
  8.6511	  6.6308	 -7.5889	 -3.4783	  0.0000
  9.0137	  6.6308	 -2.2153	 -1.2197	  1.0000
  0.3108	  6.2681	 -1.1493	 -1.4571	  1.0000
  0.6734	  6.2681	-13.0167	  3.1364	  0.0000
  1.0361	  6.2681	 -0.7594	 -2.0094	  1.0000
  1.3987	  6.2681	  0.1201	  1.1182	  0.0000
  1.7613	  6.2681	 -0.7019	 -1.7761	  1.0000
  2.1239	  6.2681	 -0.1374	 -1.8455	  1.0000
  2.4865	  6.2681	  9.9309	 10.5695	  0.0000
  2.8492	  6.2681	 -0.3450	 -1.4084	  1.0000
  3.2118	  6.2681	 -0.0124	 -0.5188	  0.0000
  3.5744	  6.2681	  7.7586	 -6.0586	  0.0000
  3.9370	  6.2681	 -0.1121	 -1.4410	  1.0000
  4.2996	  6.2681	 -1.0288	 -0.6163	  0.0000
  4.6622	  6.2681	  0.1006	 -0.3403	  1.0000
  5.0249	  6.2681	  0.3477	 -0.5192	  1.0000
  5.3875	  6.2681	  0.5263	 -0.2982	  1.0000
  5.7501	  6.2681	  6.7792	 -1.0437	  0.0000
  6.1127	  6.2681	  0.8558	 -0.9657	  0.0000
  6.4753	  6.2681	  1.3083	 -0.2154	  1.0000
  6.8380	  6.2681	 -0.0004	  0.2861	  0.0000
  7.2006	  6.2681	  1.3413	  3.7831	  0.0000
  7.5632	  6.2681	  0.6057	 -0.7884	  1.0000
  7.9258	  6.2681	 -0.1767	 -1.1566	  1.0000
  8.2884	  6.2681	 -0.6665	 -1.2844	  1.0000
  8.6511	  6.2681	  0.4741	  0.0625	  0.0000
  9.0137	  6.2681	 -5.6451	 -0.1769	  0.0000
  0.3108	  5.9055	 -1.5166	 -1.9000	  1.0000
  0.6734	  5.9055	  1.0036	 -7.7616	  0.0000
  1.0361	  5.9055	 -1.0373	 -2.2002	  1.0000
  1.3987	  5.9055	 -0.5956	  0.0854	  0.0000
  1.7613	  5.9055	 11.5029	-11.2821	  0.0000
  2.1239	  5.9055	  0.0923	 -2.1081	  1.0000
  2.4865	  5.9055	-15.0301	  7.6758	  0.0000
  2.8492	  5.9055	-13.5320	 -0.0338	  0.0000
  3.2118	  5.9055	 -0.0461	 -0.3023	  0.0000
  3.5744	  5.9055	-14.6599	 11.2791	  0.0000
  3.9370	  5.9055	 -1.1223	 -1.0069	  0.0000
  4.2996	  5.9055	 -0.3327	 -0.4363	  1.0000
  4.6622	  5.9055	 -0.0608	 -0.1122	  1.0000
  5.0249	  5.9055	  0.3422	 -0.1942	  1.0000
  5.3875	  5.9055	 -3.2638	  3.1626	  0.0000
  5.7501	  5.9055	  0.8607	 -0.1054	  1.0000
  6.1127	  5.9055	 -2.1730	 -2.6640	  0.0000
  6.4753	  5.9055	  7.7685	-12.4997	  0.0000
  6.8380	  5.9055	  3.7198	 -7.6213	  0.0000
  7.2006	  5.9055	 13.0014	-10.2825	  0.0000
  7.5632	  5.9055	 -0.0521	  0.2659	  0.0000
  7.9258	  5.9055	 -0.2964	 -0.9144	  1.0000
  8.2884	  5.9055	 -0.7393	 -0.9869	  1.0000
  8.6511	  5.9055	 -0.9940	 -0.9745	  1.0000
  9.0137	  5.9055	 -1.6110	 -1.2161	  1.0000
  0.3108	  5.5429	 -2.1944	 -1.1906	  1.0000
  0.6734	  5.5429	 -1.6093	 -1.4477	  1.0000
  1.0361	  5.5429	 -1.5572	 -1.6870	  1.0000
  1.3987	  5.5429	 -1.1524	 -1.4735	  1.0000
  1.7613	  5.5429	 -1.1464	 -1.6769	  1.0000
  2.1239	  5.5429	 -8.5601	-10.9871	  0.0000
  2.4865	  5.5429	 -0.5197	 -1.1205	  1.0000
  2.8492	  5.5429	 -0.4242	 -0.3354	  0.0000
  3.2118	  5.5429	 -0.0639	 -0.4120	  0.0000
