# x	y	u	v	mask
  0.3108	  6.9934	-13.2610	  7.5468	  0.0000
  0.6734	  6.9934	 -7.8566	 13.5357	  0.0000
  1.0361	  6.9934	 -4.8933	  3.9624	  0.0000
  1.3987	  6.9934	  4.5779	 -0.9181	  0.0000
  1.7613	  6.9934	 -0.1003	 -0.8011	  1.0000
  2.1239	  6.9934	  0.1759	 -0.7870	  1.0000
  2.4865	  6.9934	  0.7277	 -1.3055	  1.0000
  2.8492	  6.9934	  1.2266	 -0.3313	  1.0000
  3.2118	  6.9934	 -1.0422	  1.0188	  0.0000
  3.5744	  6.9934	  0.7582	  0.5785	  1.0000
  3.9370	  6.9934	 10.5894	 10.7043	  0.0000
  4.2996	  6.9934	 -0.6445	  1.2247	  1.0000
  4.6622	  6.9934	 -0.5166	  1.6657	  1.0000
  5.0249	  6.9934	 -3.1471	  7.4836	  0.0000
  5.3875	  6.9934	 -1.2644	  2.1290	  1.0000
  5.7501	  6.9934	  9.7672	  7.6384	  0.0000
  6.1127	  6.9934	 -0.5554	  2.0870	  1.0000
  6.4753	  6.9934	  0.3121	  1.8068	  1.0000
  6.8380	  6.9934	 -1.6363	 -1.0589	  0.0000
  7.2006	  6.9934	 -2.2287	 -1.0346	  0.0000
  7.5632	  6.9934	 -2.0984	 -1.7958	  0.0000
  7.9258	  6.9934	 13.4272	-12.3093	  0.0000
  8.2884	  6.9934	 -0.4134	 -1.6724	  1.0000
  8.6511	  6.9934	 -2.2202	 -1.3095	  0.0000
  9.0137	  6.9934	 -1.2793	 -2.4307	  1.0000
  0.3108	  6.6308	 -2.4901	  1.2666	  1.0000
  0.6734	  6.6308	 -0.6774	 -2.0680	  0.0000
  1.0361	  6.6308	 -4.0477	  2.4198	  0.0000
  1.3987	  6.6308	 -1.1452	  0.2429	  1.0000
  1.7613	  6.6308	 -0.2356	 -0.2481	  1.0000
  2.1239	  6.6308	 -0.0016	 -0.2194	  1.0000
  2.4865	  6.6308	  0.6002	 -0.8504	  1.0000
  2.8492	  6.6308	  1.2006	  0.2552	  1.0000
  3.2118	  6.6308	 -2.3776	  1.1878	  0.0000
  3.5744	  6.6308	  5.3691	 -7.8798	  0.0000
  3.9370	  6.6308	 -0.0058	  1.1017	  1.0000
  4.2996	  6.6308	 -0.5041	  1.3761	  1.0000
  4.6622	  6.6308	 -0.4841	  1.6864	  1.0000
  5.0249	  6.6308	 -7.6229	  1.3322	  0.0000
  5.3875	  6.6308	 -1.3858	  0.5434	  0.0000
  5.7501	  6.6308	 -0.9519	  1.7766	  1.0000
  6.1127	  6.6308	 -3.6398	  0.6352	  0.0000
  6.4753	  6.6308	  0.4213	  1.6615	  1.0000
  6.8380	  6.6308	  0.9318	  1.1327	  1.0000
  7.2006	  6.6308	  6.6155	  5.7019	  0.0000
  7.5632	  6.6308	 -1.7482	 -0.8603	  0.0000
  7.9258	  6.6308	 -0.2234	 -0.9007	  1.0000
  8.2884	  6.6308	 -9.0366	 -7.7756	  0.0000
  8.6511	  6.6308	 -0.7527	 -1.6426	  1.0000
  9.0137	  6.6308	 -1.7940	 -1.9893	  1.0000
  0.3108	  6.2681	 -1.7905	  1.3679	  1.0000
  0.6734	  6.2681	 -0.5907	 -7.5808	  0.0000
  1.0361	  6.2681	 -0.8560	  0.5946	  1.0000
  1.3987	  6.2681	 -0.8022	  0.3937	  1.0000
  1.7613	  6.2681	  7.5872	-13.4967	  0.0000
  2.1239	  6.2681	  0.0355	  0.1100	  1.0000
  2.4865	  6.2681	  0.4957	 -0.2385	  1.0000
  2.8492	  6.2681	  5.9895	 -7.7693	  0.0000
  3.2118	  6.2681	  0.5105	  1.0063	  1.0000
  3.5744	  6.2681	 -1.3830	  1.0781	  0.0000
  3.9370	  6.2681	 -0.6221	  0.4104	  0.0000
  4.2996	  6.2681	 -3.0999	  0.4095	  0.0000
  4.6622	  6.2681	 -0.8186	  1.4224	  1.0000
  5.0249	  6.2681	 -7.1034	 -6.7750	  0.0000
  5.3875	  6.2681	 -1.5663	  0.3953	  0.0000
  5.7501	  6.2681	 -5.5723	  6.6484	  0.0000
  6.1127	  6.2681	 -0.8819	  1.7377	  1.0000
  6.4753	  6.2681	  3.4893	 14.4679	  0.0000
  6.8380	  6.2681	  0.4861	  1.2090	  1.0000
  7.2006	  6.2681	  0.2036	  0.6190	  1.0000
  7.5632	  6.2681	  0.0479	  0.4458	  1.0000
  7.9258	  6.2681	 -0.6185	 -0.4403	  1.0000
  8.2884	  6.2681	 -0.8898	 -0.6402	  1.0000
  8.6511	  6.2681	 -0.9827	 -1.2071	  1.0000
  9.0137	  6.2681	 -1.9437	 -1.5051	  1.0000
  0.3108	  5.9055	 -1.5205	  0.9917	  1.0000
  0.6734	  5.9055	 -0.8305	  0.5678	  1.0000
  1.0361	  5.9055	 -0.5819	  0.6381	  1.0000
  1.3987	  5.9055	 -0.5604	 -7.7091	  0.0000
  1.7613	  5.9055	 -0.2019	  0.3579	  1.0000
  2.1239	  5.9055	 -0.2636	  0.5004	  1.0000
  2.4865	  5.9055	 -3.4130	  0.6309	  0.0000
  2.8492	  5.9055	  0.7608	  0.4474	  1.0000
  3.2118	  5.9055	  0.3105	  0.6507	  1.0000
  3.5744	  5.9055	 -0.0749	  0.4800	  1.0000
  3.9370	  5.9055	  4.8725	  8.2855	  0.0000
  4.2996	  5.9055	 -0.7628	  0.7728	  1.0000
  4.6622	  5.9055	 -1.4729	 -0.5124	  0.0000
  5.0249	  5.9055	 -2.5463	 -0.1340	  0.0000
  5.3875	  5.9055	 -1.5882	  0.2441	  0.0000
  5.7501	  5.9055	 -0.7812	  1.0526	  1.0000
  6.1127	  5.9055	 -0.5281	  1.3431	  1.0000
  6.4753	  5.9055	  0.2906	  1.1190	  1.0000
  6.8380	  5.9055	  0.6437	  0.7351	  1.0000
  7.2006	  5.9055	  0.3930	  0.2785	  1.0000
  7.5632	  5.9055	  7.5602	 -4.0438	  0.0000
  7.9258	  5.9055	 -0.7203	 -0.4397	  1.0000
  8.2884	  5.9055	 -0.9708	 -0.6212	  1.0000
  8.6511	  5.9055	 -9.1616	  5.1081	  0.0000
  9.0137	  5.9055	 -2.0008	 -1.1526	  1.0000
  0.3108	  5.5429	 -0.7442	  0.0914	  1.0000
  0.6734	  5.5429	  0.0998	  0.3941	  0.0000
  1.0361	  5.5429	 -7.5824	  7.7053	  0.0000
  1.3987	  5.5429	 -0.2816	  0.3159	  1.0000
