# x	y	u	v	mask
  0.3108	  6.9934	 -1.4629	  0.4716	  1.0000
  0.6734	  6.9934	 -3.7704	 -9.0576	  0.0000
  1.0361	  6.9934	 -8.1096	 -7.8178	  0.0000
  1.3987	  6.9934	 10.6859	  7.3176	  0.0000
  1.7613	  6.9934	 -1.0281	  0.1702	  0.0000
  2.1239	  6.9934	  0.4464	 -0.1731	  1.0000
  2.4865	  6.9934	  0.8003	  0.0731	  1.0000
  2.8492	  6.9934	 -0.0567	 -0.8262	  1.0000
  3.2118	  6.9934	 -3.4448	  2.0753	  0.0000
  3.5744	  6.9934	 -4.6604	  9.3376	  0.0000
  3.9370	  6.9934	 -1.1914	 -0.7396	  1.0000
  4.2996	  6.9934	  0.3627	  9.6014	  0.0000
  4.6622	  6.9934	 -1.9233	  0.2266	  1.0000
  5.0249	  6.9934	 -2.0256	 -0.0513	  1.0000
  5.3875	  6.9934	 -1.6626	  0.7293	  1.0000
  5.7501	  6.9934	  2.3225	  7.6813	  0.0000
  6.1127	  6.9934	 -1.5058	  1.1338	  1.0000
  6.4753	  6.9934	 -1.3555	  1.6528	  1.0000
  6.8380	  6.9934	 -1.1964	  1.7525	  1.0000
  7.2006	  6.9934	 -1.0432	  1.4770	  1.0000
  7.5632	  6.9934	 -1.1088	  1.4390	  1.0000
  7.9258	  6.9934	 -0.7661	  0.6496	  0.0000
  8.2884	  6.9934	 -1.5090	  0.5289	  1.0000
  8.6511	  6.9934	 -0.5843	  0.3021	  0.0000
  9.0137	  6.9934	 -1.7501	  0.1510	  1.0000
  0.3108	  6.6308	 -7.9122	  5.2689	  0.0000
  0.6734	  6.6308	 -2.2428	 -0.7966	  0.0000
  1.0361	  6.6308	 -7.7311	  5.9290	  0.0000
  1.3987	  6.6308	 -0.7115	 -0.4939	  1.0000
  1.7613	  6.6308	  0.4105	 -1.0494	  1.0000
  2.1239	  6.6308	  1.0195	 -0.8964	  1.0000
  2.4865	  6.6308	  1.1776	 -0.7469	  1.0000
  2.8492	  6.6308	 -6.3736	 -1.0489	  0.0000
  3.2118	  6.6308	  0.8695	 -1.5791	  1.0000
  3.5744	  6.6308	  0.0162	 -1.2662	  1.0000
