# x	y	u	v	mask
  0.3108	  6.9934	 -0.9332	 -3.0252	  0.0000
  0.6734	  6.9934	  1.5768	  1.1336	  1.0000
  1.0361	  6.9934	  7.7821	 -7.7168	  0.0000
  1.3987	  6.9934	 -0.0912	  0.1669	  0.0000
  1.7613	  6.9934	  1.5171	 -0.5697	  1.0000
  2.1239	  6.9934	 -0.5954	 -2.4449	  0.0000
  2.4865	  6.9934	  0.6572	 -1.9477	  1.0000
  2.8492	  6.9934	  0.0015	 -2.1820	  1.0000
  3.2118	  6.9934	 -0.9578	 -2.8600	  1.0000
  3.5744	  6.9934	-12.0137	 -7.5981	  0.0000
  3.9370	  6.9934	 -2.1095	 -1.6619	  1.0000
  4.2996	  6.9934	 -4.9144	 -6.1620	  0.0000
  4.6622	  6.9934	 -2.6737	 -0.9275	  1.0000
  5.0249	  6.9934	 -1.5019	 -0.3996	  0.0000
  5.3875	  6.9934	 -1.7536	  0.2427	  1.0000
  5.7501	  6.9934	 -1.0645	  0.8962	  1.0000
  6.1127	  6.9934	-15.1129	 11.9611	  0.0000
  6.4753	  6.9934	  0.6398	 -0.5492	  0.0000
  6.8380	  6.9934	  5.6756	  7.6566	  0.0000
  7.2006	  6.9934	 -0.0580	  0.6579	  1.0000
  7.5632	  6.9934	  0.2777	  0.0215	  1.0000
  7.9258	  6.9934	  0.1229	 -0.4858	  0.0000
  8.2884	  6.9934	 -1.1891	 -0.8572	  1.0000
  8.6511	  6.9934	 -1.3967	 -1.1522	  1.0000
  9.0137	  6.9934	 -1.9778	 -1.4465	  1.0000
  0.3108	  6.6308	  1.1948	  0.3223	  1.0000
  0.6734	  6.6308	 -7.4263	  9.5708	  0.0000
  1.0361	  6.6308	  0.0478	 -0.5733	  0.0000
  1.3987	  6.6308	  7.7679	  2.7186	  0.0000
  1.7613	  6.6308	  9.4404	  9.3214	  0.0000
  2.1239	  6.6308	  2.1223	 -2.1212	  1.0000
  2.4865	  6.6308	  0.7060	 -2.2748	  1.0000
  2.8492	  6.6308	  7.7797	  2.2758	  0.0000
  3.2118	  6.6308	  5.5208	  1.1219	  0.0000
  3.5744	  6.6308	 -1.5584	 -2.4110	  1.0000
  3.9370	  6.6308	 -0.0335	  0.1918	  0.0000
  4.2996	  6.6308	 -2.3753	 -0.9788	  1.0000
  4.6622	  6.6308	 -2.6842	 -0.5116	  1.0000
  5.0249	  6.6308	-11.9085	  1.9816	  0.0000
  5.3875	  6.6308	 -1.7993	 -0.3209	  1.0000
  5.7501	  6.6308	  5.7072	 -2.3375	  0.0000
  6.1127	  6.6308	  0.0631	 -0.2013	  0.0000
  6.4753	  6.6308	 -0.1014	  0.1238	  1.0000
  6.8380	  6.6308	  0.3893	 -0.5888	  0.0000
  7.2006	  6.6308	 -0.1427	  0.0285	  1.0000
  7.5632	  6.6308	  0.1992	 -0.2652	  0.0000
  7.9258	  6.6308	 -0.8585	 -0.4453	  1.0000
  8.2884	  6.6308	 -1.1558	 -0.7394	  1.0000
  8.6511	  6.6308	 -1.3473	 -0.9380	  1.0000
  9.0137	  6.6308	 -7.6203	 -7.6668	  0.0000
  0.3108	  6.2681	  1.6967	  0.9889	  1.0000
  0.6734	  6.2681	  1.7736	  0.9781	  1.0000
  1.0361	  6.2681	  7.5901	  0.4903	  0.0000
  1.3987	  6.2681	  1.4708	 -0.4123	  1.0000
  1.7613	  6.2681	  1.3134	 -0.9439	  1.0000
  2.1239	  6.2681	  1.7762	 -2.0188	  1.0000
  2.4865	  6.2681	 -8.0778	-10.6788	  0.0000
  2.8492	  6.2681	 -0.3265	 -2.0970	  1.0000
  3.2118	  6.2681	 -1.1398	 -2.7459	  1.0000
  3.5744	  6.2681	 -2.9441	 -1.7000	  0.0000
  3.9370	  6.2681	 -2.2787	 -1.3522	  1.0000
  4.2996	  6.2681	 -2.2255	 -1.2084	  1.0000
  4.6622	  6.2681	 -2.4939	 -0.7687	  1.0000
  5.0249	  6.2681	 -1.7947	 -0.6882	  0.0000
  5.3875	  6.2681	 -1.8804	 -0.4659	  1.0000
  5.7501	  6.2681	 -1.2707	  0.1962	  1.0000
  6.1127	  6.2681	 -0.7760	  0.3173	  1.0000
  6.4753	  6.2681	  7.6856	  7.7480	  0.0000
  6.8380	  6.2681	  0.1336	  0.0451	  0.0000
  7.2006	  6.2681	 -0.3722	  0.0357	  1.0000
  7.5632	  6.2681	  0.1578	 -0.2149	  1.0000
  7.9258	  6.2681	 -0.6493	 -0.4724	  1.0000
  8.2884	  6.2681	 -0.8669	 -0.7224	  1.0000
  8.6511	  6.2681	 -1.0040	 -0.8549	  1.0000
  9.0137	  6.2681	 -1.4420	 -1.0367	  1.0000
  0.3108	  5.9055	  0.0121	 -0.6240	  0.0000
  0.6734	  5.9055	 -8.1054	  7.8322	  0.0000
  1.0361	  5.9055	  1.3946	  0.2307	  1.0000
  1.3987	  5.9055	  1.1498	 -0.4765	  1.0000
  1.7613	  5.9055	  0.7425	 -0.8448	  1.0000
  2.1239	  5.9055	  1.0964	 -1.7983	  1.0000
  2.4865	  5.9055	 -0.2555	 -2.2307	  1.0000
  2.8492	  5.9055	  3.7341	-11.1062	  0.0000
  3.2118	  5.9055	 -1.6529	 -2.1017	  0.0000
  3.5744	  5.9055	 -2.0109	 -2.0116	  1.0000
  3.9370	  5.9055	 -2.3579	 -0.9486	  1.0000
  4.2996	  5.9055	 -4.0816	 -3.0332	  0.0000
  4.6622	  5.9055	 -2.0492	 -0.1623	  1.0000
  5.0249	  5.9055	 -3.0274	  7.6083	  0.0000
  5.3875	  5.9055	 -1.3408	 -0.1608	  1.0000
  5.7501	  5.9055	 -1.0333	  0.5997	  1.0000
  6.1127	  5.9055	 -0.6272	  0.5943	  1.0000
  6.4753	  5.9055	  6.6723	 -7.3640	  0.0000
  6.8380	  5.9055	 -0.5326	  0.1221	  0.0000
  7.2006	  5.9055	 -0.6805	  0.0985	  1.0000
  7.5632	  5.9055	  0.1406	 -0.3192	  0.0000
  7.9258	  5.9055	 -1.0334	 -0.0875	  1.0000
  8.2884	  5.9055	 -1.0637	 -0.5098	  1.0000
  8.6511	  5.9055	 -1.2250	 -0.5482	  1.0000
  9.0137	  5.9055	 -1.2634	 -0.9132	  1.0000
  0.3108	  5.5429	 -0.4531	  6.8449	  0.0000
  0.6734	  5.5429	 -0.4026	 -1.6475	  0.0000
  1.0361	  5.5429	 10.9333	 -5.8926	  0.0000
  1.3987	  5.5429	 -4.4845	 -7.6108	  0.0000
  1.7613	  5.5429	  0.2944	 -0.7442	  1.0000
  2.1239	  5.5429	  0.7526	 -1.4400	  1.0000
  2.4865	  5.5429	 -0.2264	 -1.9051	  1.0000
  2.8492	  5.5429	 -1.5348	 -2.8973	  0.0000
  3.2118	  5.5429	 12.4843	 -6.9469	  0.0000
  3.5744	  5.5429	 -1.8639	 -1.2852	  1.0000
  3.9370	  5.5429	 -5.9368	 13.5213	  0.0000
  4.2996	  5.5429	 -7.8445	-11.4281	  0.0000
  4.6622	  5.5429	 -1.8632	  0.4281	  1.0000
  5.0249	  5.5429	  2.7423	  7.3298	  0.0000
  5.3875	  5.5429	 -2.5247	 -1.0894	  0.0000
  5.7501	  5.5429	 -1.3048	  0.4311	  1.0000
  6.1127	  5.5429	 -0.6720	 -0.0484	  1.0000
  6.4753	  5.5429	 -2.7128	-14.5327	  0.0000
  6.8380	  5.5429	 -0.8003	 -0.3511	  1.0000
  7.2006	  5.5429	 -0.4411	 -0.7562	  1.0000
  7.5632	  5.5429	 -0.0535	 -0.3393	  1.0000
  7.9258	  5.5429	  0.5881	 -0.4083	  0.0000
  8.2884	  5.5429	  0.0557	 -0.2347	  0.0000
  8.6511	  5.5429	 -0.0514	 -0.3010	  0.0000
  9.0137	  5.5429	 -6.8484	  0.7800	  0.0000
  0.3108	  5.1803	  0.7915	 -0.0436	  1.0000
  0.6734	  5.1803	  2.8905	  7.4124	  0.0000
  1.0361	  5.1803	 12.3492	 11.4767	  0.0000
  1.3987	  5.1803	  0.4488	 -0.7608	  1.0000
  1.7613	  5.1803	 -0.3328	 -0.9846	  1.0000
  2.1239	  5.1803	 -0.2001	 -1.4142	  1.0000
  2.4865	  5.1803	  5.1895	-11.8775	  0.0000
  2.8492	  5.1803	-14.2459	 -2.0178	  0.0000
  3.2118	  5.1803	 -1.7226	 -1.4597	  1.0000
  3.5744	  5.1803	 -2.1079	 -0.9439	  1.0000
  3.9370	  5.1803	 -2.1358	  0.0452	  1.0000
  4.2996	  5.1803	 -1.2873	  0.2957	  1.0000
  4.6622	  5.1803	 -7.2531	 -4.2594	  0.0000
  5.0249	  5.1803	 -1.6554	  0.9767	  1.0000
  5.3875	  5.1803	  7.6506	 -9.3859	  0.0000
  5.7501	  5.1803	 -3.2200	 -0.8795	  0.0000
  6.1127	  5.1803	-11.9154	 -7.6030	  0.0000
  6.4753	  5.1803	  0.8524	 11.4586	  0.0000
  6.8380	  5.1803	 -0.7128	 -0.2579	  1.0000
  7.2006	  5.1803	 -0.3409	 -0.9831	  1.0000
  7.5632	  5.1803	  0.2699	 -0.6252	  0.0000
  7.9258	  5.1803	 -0.3593	 -0.3229	  1.0000
  8.2884	  5.1803	  0.2344	 -0.5669	  1.0000
  8.6511	  5.1803	  0.0638	 -0.3399	  1.0000
  9.0137	  5.1803	  0.4777	 -0.6043	  1.0000
  0.3108	  4.8177	 -0.2006	 -0.0152	  1.0000
  0.6734	  4.8177	  0.0946	  0.3306	  1.0000
  1.0361	  4.8177	 -0.2625	  0.3277	  1.0000
  1.3987	  4.8177	 -1.5102	 -3.8770	  0.0000
  1.7613	  4.8177	 -1.4082	 -4.0527	  0.0000
  2.1239	  4.8177	 -1.0202	 -0.2877	  1.0000
  2.4865	  4.8177	 -0.9948	 -0.6059	  1.0000
  2.8492	  4.8177	-13.5819	  4.3480	  0.0000
  3.2118	  4.8177	 -1.5098	 -0.3835	  1.0000
  3.5744	  4.8177	 -1.6277	 -0.0135	  1.0000
  3.9370	  4.8177	 -1.7501	  0.8041	  1.0000
  4.2996	  4.8177	 -0.8370	  1.0177	  1.0000
  4.6622	  4.8177	 -0.9565	  1.8450	  1.0000
  5.0249	  4.8177	 -1.5291	  1.4916	  1.0000
  5.3875	  4.8177	 13.9986	 11.4165	  0.0000
  5.7501	  4.8177	 -5.0965	  6.2939	  0.0000
  6.1127	  4.8177	 -1.5044	 -6.0189	  0.0000
  6.4753	  4.8177	  6.9027	 -6.7249	  0.0000
  6.8380	  4.8177	 -9.8973	 10.9580	  0.0000
  7.2006	  4.8177	 -0.7183	 -1.2055	  1.0000
  7.5632	  4.8177	-11.9874	  7.1489	  0.0000
  7.9258	  4.8177	 -0.5887	 -0.4780	  1.0000
  8.2884	  4.8177	  0.2354	  0.2306	  0.0000
  8.6511	  4.8177	  0.0790	 -0.0857	  0.0000
  9.0137	  4.8177	 -0.3354	 -0.4346	  0.0000
  0.3108	  4.4550	 -0.4588	 -0.3182	  1.0000
  0.6734	  4.4550	 -4.0443	 -7.7235	  0.0000
  1.0361	  4.4550	 -0.6283	  0.1695	  1.0000
  1.3987	  4.4550	 -0.6383	 -0.1808	  1.0000
  1.7613	  4.4550	 -1.4000	 -0.3337	  1.0000
  2.1239	  4.4550	 -1.3804	 -0.1583	  1.0000
  2.4865	  4.4550	 -1.4441	 -0.4350	  1.0000
  2.8492	  4.4550	 -1.4418	  0.2199	  1.0000
  3.2118	  4.4550	 -1.7938	 -0.0260	  1.0000
  3.5744	  4.4550	 -1.8250	  0.4341	  1.0000
  3.9370	  4.4550	 -1.8696	  1.1492	  1.0000
  4.2996	  4.4550	 -1.0636	  1.3162	  1.0000
  4.6622	  4.4550	 -7.6804	 10.4644	  0.0000
  5.0249	  4.4550	 -1.6267	  1.6212	  1.0000
  5.3875	  4.4550	 -1.4117	  1.1120	  1.0000
  5.7501	  4.4550	 -1.8285	  1.2780	  1.0000
  6.1127	  4.4550	 -2.2601	 -0.5454	  0.0000
  6.4753	  4.4550	 -0.3939	  0.4914	  0.0000
  6.8380	  4.4550	-13.4792	 -1.6699	  0.0000
  7.2006	  4.4550	  7.5826	-10.0699	  0.0000
  7.5632	  4.4550	 -0.5897	 -0.6862	  1.0000
  7.9258	  4.4550	 -0.1545	 -0.1126	  0.0000
  8.2884	  4.4550	 13.3843	-11.0032	  0.0000
  8.6511	  4.4550	  6.2119	 10.3254	  0.0000
  9.0137	  4.4550	  0.7367	 -0.5945	  1.0000
  0.3108	  4.0924	  7.7137	 -7.5783	  0.0000
  0.6734	  4.0924	 -0.0890	 -7.6059	  0.0000
  1.0361	  4.0924	 -8.4948	  3.9307	  0.0000
  1.3987	  4.0924	 -0.9323	 -1.6991	  0.0000
  1.7613	  4.0924	 13.3262	 11.9883	  0.0000
  2.1239	  4.0924	 -7.6094	 -2.8006	  0.0000
  2.4865	  4.0924	 -2.1727	  0.5687	  1.0000
  2.8492	  4.0924	 -2.1523	  0.8356	  1.0000
  3.2118	  4.0924	 -3.0938	 -3.0081	  0.0000
  3.5744	  4.0924	  7.8247	  6.8515	  0.0000
  3.9370	  4.0924	 -2.4938	  1.7184	  1.0000
  4.2996	  4.0924	 -1.4761	  1.6698	  1.0000
  4.6622	  4.0924	 -1.3355	  2.2315	  1.0000
  5.0249	  4.0924	 -1.7450	  1.7573	  1.0000
  5.3875	  4.0924	 -1.4564	  1.4548	  1.0000
  5.7501	  4.0924	  7.1184	 13.5465	  0.0000
  6.1127	  4.0924	 -1.6465	  0.2245	  1.0000
  6.4753	  4.0924	 -2.2474	 -6.0770	  0.0000
  6.8380	  4.0924	 -1.5474	 -0.5855	  1.0000
  7.2006	  4.0924	  2.6053	  2.0331	  0.0000
  7.5632	  4.0924	 -0.4951	 -0.7444	  1.0000
  7.9258	  4.0924	  7.6017	 -7.6138	  0.0000
  8.2884	  4.0924	  0.1406	 -0.9501	  1.0000
  8.6511	  4.0924	  0.0707	  0.1210	  0.0000
  9.0137	  4.0924	  0.9468	 -0.5844	  1.0000
  0.3108	  3.7298	 -1.7176	 -0.9175	  1.0000
  0.6734	  3.7298	 -1.4111	 -0.1741	  1.0000
  1.0361	  3.7298	 -8.7995	  7.7316	  0.0000
  1.3987	  3.7298	 -1.9188	  0.3445	  1.0000
  1.7613	  3.7298	 -1.0930	  7.6710	  0.0000
  2.1239	  3.7298	 -7.5972	 11.7307	  0.0000
  2.4865	  3.7298	 -2.3707	  1.4674	  1.0000
  2.8492	  3.7298	 -2.2879	  1.7353	  1.0000
  3.2118	  3.7298	-12.3051	  5.1334	  0.0000
  3.5744	  3.7298	 12.1264	  7.0662	  0.0000
  3.9370	  3.7298	  9.5217	 -2.6138	  0.0000
  4.2996	  3.7298	 -1.8621	  2.4051	  1.0000
  4.6622	  3.7298	 -1.6960	  2.8317	  1.0000
  5.0249	  3.7298	 -1.6890	  2.1892	  1.0000
  5.3875	  3.7298	 -1.4571	  1.5259	  1.0000
  5.7501	  3.7298	-11.5893	  7.8526	  0.0000
  6.1127	  3.7298	 -1.6286	  0.1358	  1.0000
  6.4753	  3.7298	 -2.1583	 13.7559	  0.0000
  6.8380	  3.7298	 -1.2798	 -0.9933	  1.0000
  7.2006	  3.7298	-14.7233	 -7.7558	  0.0000
  7.5632	  3.7298	 -0.7739	 -1.0699	  1.0000
  7.9258	  3.7298	  7.6327	 -7.7479	  0.0000
  8.2884	  3.7298	  0.1359	 -0.0829	  0.0000
  8.6511	  3.7298	 -7.3192	  6.5245	  0.0000
  9.0137	  3.7298	  0.1059	  0.2077	  0.0000
  0.3108	  3.3672	  5.9950	  7.6819	  0.0000
  0.6734	  3.3672	-10.4534	 -6.2234	  0.0000
  1.0361	  3.3672	 -5.6125	 -1.8916	  0.0000
  1.3987	  3.3672	 -2.2189	  0.2730	  1.0000
  1.7613	  3.3672	 -2.7624	  0.8886	  1.0000
  2.1239	  3.3672	 -2.3454	 -1.7985	  0.0000
  2.4865	  3.3672	 -2.9332	 -3.6312	  0.0000
  2.8492	  3.3672	  8.3735	 -7.3344	  0.0000
  3.2118	  3.3672	 -2.6804	  2.0013	  1.0000
  3.5744	  3.3672	-14.4858	 -4.1740	  0.0000
  3.9370	  3.3672	 -2.6482	  2.5253	  1.0000
  4.2996	  3.3672	 -2.6427	  2.2220	  1.0000
  4.6622	  3.3672	 -2.3852	  2.4020	  1.0000
  5.0249	  3.3672	 -2.1570	  1.5734	  1.0000
  5.3875	  3.3672	 -2.0578	  0.9065	  1.0000
  5.7501	  3.3672	 -5.6773	 -2.1452	  0.0000
  6.1127	  3.3672	 -1.7352	 -0.7442	  1.0000
  6.4753	  3.3672	 -0.2261	 -5.7442	  0.0000
  6.8380	  3.3672	 -4.2809	  2.7147	  0.0000
  7.2006	  3.3672	 -0.2907	 -2.3887	  1.0000
  7.5632	  3.3672	 -0.6815	 -1.4944	  1.0000
  7.9258	  3.3672	 -0.5640	 -1.1265	  1.0000
  8.2884	  3.3672	 -0.1230	 -1.1177	  1.0000
  8.6511	  3.3672	 -7.5706	  0.7468	  0.0000
  9.0137	  3.3672	  0.2500	 -0.5943	  1.0000
  0.3108	  3.0046	 -1.8496	 -0.4900	  1.0000
  0.6734	  3.0046	 -1.6355	  0.3457	  1.0000
  1.0361	  3.0046	 -2.4015	  0.9587	  1.0000
  1.3987	  3.0046	 -2.4609	  1.0949	  1.0000
  1.7613	  3.0046	 -3.1073	  1.6864	  1.0000
  2.1239	  3.0046	 -3.4798	  2.2457	  1.0000
  2.4865	  3.0046	 -1.0795	  7.6250	  0.0000
  2.8492	  3.0046	-11.6494	  8.9303	  0.0000
  3.2118	  3.0046	 -5.1227	 -1.7368	  0.0000
  3.5744	  3.0046	 -2.7844	  2.4925	  1.0000
  3.9370	  3.0046	 -2.9388	  2.8272	  1.0000
  4.2996	  3.0046	 -3.0297	  2.2484	  1.0000
  4.6622	  3.0046	 -2.7722	  2.2622	  1.0000
  5.0249	  3.0046	 -7.5958	  7.7565	  0.0000
  5.3875	  3.0046	 -2.4446	  0.5497	  1.0000
  5.7501	  3.0046	 -2.1067	 -0.0682	  1.0000
  6.1127	  3.0046	 -1.9072	 -0.7982	  1.0000
  6.4753	  3.0046	  4.0715	-14.2666	  0.0000
  6.8380	  3.0046	 -1.2277	 -2.6438	  0.0000
  7.2006	  3.0046	 -0.8484	 -2.1327	  1.0000
  7.5632	  3.0046	 -1.1874	 -1.3240	  1.0000
  7.9258	  3.0046	  2.9364	  0.8135	  0.0000
  8.2884	  3.0046	 -0.9989	 -0.7625	  1.0000
  8.6511	  3.0046	 -0.8443	 -0.4396	  1.0000
  9.0137	  3.0046	 -0.7914	 -0.2853	  1.0000
  0.3108	  2.6419	  3.6957	 -7.8751	  0.0000
  0.6734	  2.6419	 -0.2628	 -7.6227	  0.0000
  1.0361	  2.6419	 -6.2167	  2.6668	  0.0000
  1.3987	  2.6419	 -2.7539	  1.1321	  1.0000
  1.7613	  2.6419	 -3.6533	  1.5523	  0.0000
  2.1239	  2.6419	 -3.6481	  2.1815	  1.0000
  2.4865	  2.6419	 -3.4073	  2.2718	  1.0000
  2.8492	  2.6419	 -3.3883	  2.7754	  1.0000
  3.2118	  2.6419	 -3.5675	  2.8915	  1.0000
  3.5744	  2.6419	 -3.2588	  2.5176	  1.0000
  3.9370	  2.6419	 -3.4645	  2.8289	  1.0000
  4.2996	  2.6419	 -3.6473	  2.1434	  1.0000
  4.6622	  2.6419	 -3.5799	  1.7398	  1.0000
  5.0249	  2.6419	 -7.6032	  7.7421	  0.0000
  5.3875	  2.6419	 -3.0029	  0.1484	  1.0000
  5.7501	  2.6419	 -2.5405	 -0.5170	  1.0000
  6.1127	  2.6419	  8.9994	-11.4769	  0.0000
  6.4753	  2.6419	 -1.9344	 -1.9344	  1.0000
  6.8380	  2.6419	 -0.4650	 -0.7413	  0.0000
  7.2006	  2.6419	 -1.1302	 -1.9769	  1.0000
  7.5632	  2.6419	 -1.4939	 -1.3176	  1.0000
  7.9258	  2.6419	 -1.3650	 -0.9452	  1.0000
  8.2884	  2.6419	 -1.4072	 -0.7995	  1.0000
  8.6511	  2.6419	 -1.2425	 -0.3623	  1.0000
  9.0137	  2.6419	 -1.2348	 -0.2100	  1.0000
  0.3108	  2.2793	 -1.7210	 -0.9049	  1.0000
  0.6734	  2.2793	 -2.0438	 -0.5185	  1.0000
  1.0361	  2.2793	 -2.5517	  0.0411	  1.0000
  1.3987	  2.2793	 -2.4073	 -7.7502	  0.0000
  1.7613	  2.2793	 -3.1403	  0.7599	  1.0000
  2.1239	  2.2793	 -3.3833	  1.3082	  1.0000
  2.4865	  2.2793	 -3.3621	  1.6256	  1.0000
  2.8492	  2.2793	 -3.7236	  7.6311	  0.0000
  3.2118	  2.2793	 -3.7919	  2.4412	  1.0000
  3.5744	  2.2793	 -3.6761	  2.2276	  1.0000
  3.9370	  2.2793	 -3.9646	  2.5016	  1.0000
  4.2996	  2.2793	 -6.6155	  5.7073	  0.0000
  4.6622	  2.2793	 -4.2738	  0.9524	  1.0000
  5.0249	  2.2793	 -3.5162	  0.2176	  1.0000
  5.3875	  2.2793	 -3.9053	 -0.9324	  0.0000
  5.7501	  2.2793	 -2.8655	 -1.4267	  1.0000
  6.1127	  2.2793	  7.9042	-13.1409	  0.0000
  6.4753	  2.2793	 -1.8335	 -2.5629	  1.0000
  6.8380	  2.2793	 -1.1579	 -2.4022	  1.0000
  7.2006	  2.2793	  0.3838	  0.8976	  0.0000
  7.5632	  2.2793	 -1.3515	 -1.4230	  1.0000
  7.9258	  2.2793	 -0.0449	  0.2255	  0.0000
  8.2884	  2.2793	 -7.6383	 -2.5516	  0.0000
  8.6511	  2.2793	 -1.0906	 -0.0431	  1.0000
  9.0137	  2.2793	 -0.9887	  0.1491	  1.0000
  0.3108	  1.9167	  3.3224	  7.7209	  0.0000
  0.6734	  1.9167	 -1.5553	  7.6590	  0.0000
  1.0361	  1.9167	 -2.3218	  0.1216	  1.0000
  1.3987	  1.9167	 -2.2932	  0.2774	  1.0000
  1.7613	  1.9167	 -2.9457	  1.1072	  1.0000
  2.1239	  1.9167	-13.2842	 13.9063	  0.0000
  2.4865	  1.9167	 -3.3010	  1.9220	  1.0000
  2.8492	  1.9167	 -2.3515	  7.7129	  0.0000
  3.2118	  1.9167	 -3.9128	  2.6423	  1.0000
  3.5744	  1.9167	 -3.8497	  2.3332	  1.0000
  3.9370	  1.9167	 -4.3059	  2.6813	  1.0000
  4.2996	  1.9167	 -4.6902	  1.7265	  1.0000
  4.6622	  1.9167	 -4.6773	  1.3113	  1.0000
  5.0249	  1.9167	 -4.7028	  9.1874	  0.0000
  5.3875	  1.9167	 -7.7029	 -6.2633	  0.0000
  5.7501	  1.9167	 -4.3028	 -2.7177	  0.0000
  6.1127	  1.9167	 -2.8229	 -1.3708	  1.0000
  6.4753	  1.9167	 -2.3131	 -1.9690	  1.0000
  6.8380	  1.9167	 -1.4264	 -1.9648	  1.0000
  7.2006	  1.9167	 -1.3477	 -1.6881	  1.0000
  7.5632	  1.9167	 -1.3209	 -1.1916	  1.0000
  7.9258	  1.9167	 -2.7173	-12.3658	  0.0000
  8.2884	  1.9167	-13.9320	 14.5016	  0.0000
  8.6511	  1.9167	  7.6306	  5.2795	  0.0000
  9.0137	  1.9167	  0.1138	 -0.0870	  0.0000
  0.3108	  1.5541	  0.0356	 -0.1879	  0.0000
  0.6734	  1.5541	 -1.4896	 -0.7738	  1.0000
  1.0361	  1.5541	 -2.0760	 -0.2751	  1.0000
  1.3987	  1.5541	 -2.0541	 -0.2674	  1.0000
  1.7613	  1.5541	 -2.6636	  0.4418	  1.0000
  2.1239	  1.5541	 -3.1450	  0.9376	  1.0000
  2.4865	  1.5541	 -3.0871	  1.3446	  1.0000
  2.8492	  1.5541	 -3.4819	  1.9581	  1.0000
