# x	y	u	v	mask
  0.3108	  6.9934	  0.9164	  2.4609	  1.0000
  0.6734	  6.9934	 -0.0334	 -3.5769	  0.0000
  1.0361	  6.9934	 -0.3777	  5.6513	  0.0000
  1.3987	  6.9934	  8.4063	 11.6544	  0.0000
  1.7613	  6.9934	  0.6789	  1.9381	  1.0000
  2.1239	  6.9934	  1.1996	  2.0908	  1.0000
  2.4865	  6.9934	 -2.1445	 -0.6795	  0.0000
  2.8492	  6.9934	 -1.4576	 -0.4335	  0.0000
  3.2118	  6.9934	  0.0493	  1.2181	  1.0000
  3.5744	  6.9934	 -1.0615	  1.6463	  1.0000
  3.9370	  6.9934	 -1.8121	  1.0970	  1.0000
  4.2996	  6.9934	 -7.8801	 -0.4495	  0.0000
  4.6622	  6.9934	-10.7284	 11.6103	  0.0000
  5.0249	  6.9934	 -2.5311	 -0.2922	  1.0000
  5.3875	  6.9934	 -1.2754	 -0.8838	  0.0000
  5.7501	  6.9934	 -1.7436	 -0.7135	  1.0000
  6.1127	  6.9934	 -0.6109	 -1.4620	  1.0000
  6.4753	  6.9934	  0.6886	 -1.8259	  0.0000
  6.8380	  6.9934	  0.6236	 -0.5572	  1.0000
  7.2006	  6.9934	  0.8038	 -0.0955	  1.0000
  7.5632	  6.9934	  0.5329	  0.0401	  1.0000
  7.9258	  6.9934	 -0.4411	 -0.8448	  0.0000
  8.2884	  6.9934	  0.2573	  0.5746	  1.0000
  8.6511	  6.9934	  0.0280	  0.8428	  1.0000
  9.0137	  6.9934	 -0.4884	  0.7438	  1.0000
  0.3108	  6.6308	  0.7547	  1.7762	  1.0000
  0.6734	  6.6308	  0.5856	  6.2964	  0.0000
  1.0361	  6.6308	 -0.4987	 -0.7061	  0.0000
  1.3987	  6.6308	  1.1261	  1.8253	  1.0000
  1.7613	  6.6308	 12.7503	 11.6639	  0.0000
  2.1239	  6.6308	  1.1274	  1.6243	  1.0000
  2.4865	  6.6308	  1.4379	  1.5791	  1.0000
  2.8492	  6.6308	 -4.2383	  7.8933	  0.0000
  3.2118	  6.6308	  7.5957	  0.7046	  0.0000
  3.5744	  6.6308	 -0.5327	 -1.8471	  0.0000
  3.9370	  6.6308	 -1.5187	  0.4485	  1.0000
  4.2996	  6.6308	 -1.4233	  0.3148	  1.0000
  4.6622	  6.6308	 -1.3705	 -1.9505	  0.0000
  5.0249	  6.6308	 -2.4619	 -0.3529	  1.0000
  5.3875	  6.6308	 -1.6922	 -1.8536	  0.0000
  5.7501	  6.6308	 -1.8189	 -0.7064	  1.0000
  6.1127	  6.6308	 -0.0844	 -1.1122	  0.0000
  6.4753	  6.6308	  0.1216	 -0.7677	  1.0000
  6.8380	  6.6308	  0.3355	 -0.5495	  1.0000
  7.2006	  6.6308	  0.5418	 -0.1703	  1.0000
  7.5632	  6.6308	 -0.2241	 -0.9412	  0.0000
  7.9258	  6.6308	 -0.0025	  0.2673	  1.0000
  8.2884	  6.6308	 -5.6133	  6.9811	  0.0000
  8.6511	  6.6308	 -0.3017	  0.6539	  1.0000
  9.0137	  6.6308	 -0.7724	  0.6002	  1.0000
  0.3108	  6.2681	  0.9549	  1.7134	  1.0000
  0.6734	  6.2681	  1.6801	  1.6815	  1.0000
  1.0361	  6.2681	  1.2300	  1.1660	  1.0000
  1.3987	  6.2681	  1.1737	  1.1652	  1.0000
  1.7613	  6.2681	  0.8320	  0.9157	  1.0000
  2.1239	  6.2681	  1.1389	  0.8241	  1.0000
  2.4865	  6.2681	  1.1976	  0.6385	  1.0000
  2.8492	  6.2681	 -5.2755	 -5.0296	  0.0000
  3.2118	  6.2681	 13.5824	 12.8557	  0.0000
  3.5744	  6.2681	 -2.0658	  0.5374	  0.0000
  3.9370	  6.2681	 -1.8485	 -0.0360	  1.0000
  4.2996	  6.2681	 -1.6793	  0.0675	  1.0000
  4.6622	  6.2681	-11.2986	  8.7884	  0.0000
  5.0249	  6.2681	 -2.6087	 -0.4669	  1.0000
  5.3875	  6.2681	 -1.5399	 -0.9693	  0.0000
  5.7501	  6.2681	 -3.6508	  0.1587	  0.0000
  6.1127	  6.2681	 -0.7121	 -1.1511	  1.0000
  6.4753	  6.2681	  0.1630	 -0.6918	  1.0000
  6.8380	  6.2681	 -0.0806	 -1.0584	  0.0000
  7.2006	  6.2681	  0.7981	 -0.4792	  1.0000
  7.5632	  6.2681	  7.8715	  7.2156	  0.0000
  7.9258	  6.2681	 -0.0330	  0.4819	  1.0000
  8.2884	  6.2681	 -0.0429	  0.6679	  1.0000
  8.6511	  6.2681	  2.9133	 -4.2608	  0.0000
  9.0137	  6.2681	 -0.3430	  0.6928	  1.0000
  0.3108	  5.9055	  0.9493	  1.2398	  1.0000
  0.6734	  5.9055	  1.5540	  1.2087	  1.0000
  1.0361	  5.9055	  1.1439	  0.6923	  1.0000
  1.3987	  5.9055	 -7.0674	  0.0051	  0.0000
  1.7613	  5.9055	  0.7641	  0.3480	  1.0000
  2.1239	  5.9055	  0.9304	  0.1580	  1.0000
  2.4865	  5.9055	 -2.2890	 -1.0358	  0.0000
  2.8492	  5.9055	 -0.6944	  0.1280	  0.0000
  3.2118	  5.9055	 -0.8570	 -3.8169	  0.0000
  3.5744	  5.9055	  9.9716	 10.9146	  0.0000
  3.9370	  5.9055	 -1.8406	 -0.2673	  1.0000
  4.2996	  5.9055	 -1.7649	 -0.1416	  1.0000
  4.6622	  5.9055	 -2.4886	 -0.3436	  1.0000
  5.0249	  5.9055	-11.9623	-13.5478	  0.0000
  5.3875	  5.9055	 -1.6093	 -1.0485	  0.0000
  5.7501	  5.9055	 -1.6186	 -1.6830	  0.0000
  6.1127	  5.9055	 12.1112	 -0.5411	  0.0000
  6.4753	  5.9055	 -0.1818	 -3.7099	  0.0000
  6.8380	  5.9055	  0.2949	 -0.7205	  1.0000
  7.2006	  5.9055	  1.7190	 -2.3897	  0.0000
  7.5632	  5.9055	  0.0567	 -1.1238	  0.0000
  7.9258	  5.9055	  0.0253	  0.3822	  1.0000
  8.2884	  5.9055	  0.3316	  0.6924	  1.0000
