# x	y	u	v	mask
  0.3108	  6.9934	  2.6724	 -0.3599	  1.0000
  0.6734	  6.9934	  3.1223	  0.0292	  1.0000
  1.0361	  6.9934	  2.7859	  0.1085	  1.0000
  1.3987	  6.9934	  0.5312	 -0.1996	  0.0000
  1.7613	  6.9934	  2.4970	 -0.9320	  0.0000
  2.1239	  6.9934	 -1.5027	 -0.1099	  0.0000
  2.4865	  6.9934	  0.5147	  2.0809	  1.0000
  2.8492	  6.9934	  0.2609	  2.4086	  1.0000
  3.2118	  6.9934	 -0.7194	  2.3289	  1.0000
  3.5744	  6.9934	  0.9576	  1.4793	  0.0000
  3.9370	  6.9934	  1.3638	  0.8378	  0.0000
  4.2996	  6.9934	  2.1291	  1.5399	  0.0000
  4.6622	  6.9934	-13.5381	  6.1564	  0.0000
  5.0249	  6.9934	 -1.7374	  1.4991	  1.0000
  5.3875	  6.9934	 -0.8469	  1.5875	  1.0000
  5.7501	  6.9934	 -0.1491	  1.9656	  1.0000
  6.1127	  6.9934	  0.3176	  1.8088	  1.0000
  6.4753	  6.9934	  0.7094	  1.8248	  1.0000
  6.8380	  6.9934	  0.5841	  2.2347	  1.0000
  7.2006	  6.9934	  0.1530	  1.6458	  1.0000
  7.5632	  6.9934	 -0.3034	  0.9924	  1.0000
  7.9258	  6.9934	  4.0738	  5.7527	  0.0000
  8.2884	  6.9934	 -8.7655	 -9.9904	  0.0000
  8.6511	  6.9934	 -2.4811	 -1.1864	  1.0000
  9.0137	  6.9934	-13.8436	 -7.7775	  0.0000
  0.3108	  6.6308	  2.4792	 -0.4190	  1.0000
  0.6734	  6.6308	 -1.1159	 13.7478	  0.0000
  1.0361	  6.6308	  1.8055	 -0.1504	  0.0000
  1.3987	  6.6308	 -2.9932	 -0.8818	  0.0000
  1.7613	  6.6308	  7.8221	  5.3729	  0.0000
  2.1239	  6.6308	  1.6580	  0.9182	  1.0000
  2.4865	  6.6308	  0.9208	  7.6613	  0.0000
  2.8492	  6.6308	  3.5550	  4.8501	  0.0000
  3.2118	  6.6308	  3.6156	  1.4972	  0.0000
  3.5744	  6.6308	 -1.2301	  2.4653	  1.0000
  3.9370	  6.6308	 -4.5685	  6.7950	  0.0000
  4.2996	  6.6308	 -1.3461	  1.3528	  1.0000
  4.6622	  6.6308	 -7.7234	  9.6685	  0.0000
  5.0249	  6.6308	 -1.6909	  1.0020	  1.0000
  5.3875	  6.6308	  5.0579	 -7.6544	  0.0000
  5.7501	  6.6308	 -0.4045	  1.4151	  1.0000
