# x	y	u	v	mask
  0.3108	  6.9934	 -2.7507	  1.0113	  1.0000
  0.6734	  6.9934	  0.2497	 -0.3085	  0.0000
  1.0361	  6.9934	-13.2212	  5.3220	  0.0000
  1.3987	  6.9934	 -1.8135	  0.6861	  1.0000
  1.7613	  6.9934	 -1.2712	  0.2177	  1.0000
  2.1239	  6.9934	  0.3672	 -0.5240	  0.0000
  2.4865	  6.9934	 -1.4958	 -0.0793	  1.0000
  2.8492	  6.9934	 -1.6469	 -0.1348	  1.0000
  3.2118	  6.9934	-10.0130	  0.3632	  0.0000
  3.5744	  6.9934	 -2.3182	 -0.4351	  1.0000
  3.9370	  6.9934	 -2.2536	 -0.3575	  1.0000
  4.2996	  6.9934	 -2.9041	 -0.6806	  1.0000
  4.6622	  6.9934	 -0.8998	  0.2196	  0.0000
  5.0249	  6.9934	 -1.8000	 -0.2947	  1.0000
  5.3875	  6.9934	-13.4102	 -4.8065	  0.0000
  5.7501	  6.9934	  6.6310	 -0.3096	  0.0000
  6.1127	  6.9934	 -0.2775	 -0.8942	  0.0000
  6.4753	  6.9934	 -0.1455	 -0.4829	  0.0000
  6.8380	  6.9934	 -0.0018	 -0.3495	  0.0000
  7.2006	  6.9934	 -0.5732	  0.1890	  1.0000
  7.5632	  6.9934	 -0.9427	 -0.2696	  1.0000
  7.9258	  6.9934	 -7.6494	 -7.7231	  0.0000
  8.2884	  6.9934	  6.6559	 -7.5933	  0.0000
  8.6511	  6.9934	 -1.2365	 -1.5927	  1.0000
  9.0137	  6.9934	 -1.9567	 -2.4340	  1.0000
  0.3108	  6.6308	-11.4442	  7.1235	  0.0000
  0.6734	  6.6308	 -1.2370	  1.5245	  1.0000
  1.0361	  6.6308	 -5.1757	  3.5695	  0.0000
  1.3987	  6.6308	  0.3137	 -0.4271	  0.0000
  1.7613	  6.6308	 -1.5663	  0.2950	  0.0000
  2.1239	  6.6308	 -0.5637	  0.7416	  1.0000
  2.4865	  6.6308	 -0.4542	  0.2355	  1.0000
  2.8492	  6.6308	 -0.8964	 -0.0768	  1.0000
  3.2118	  6.6308	  1.9147	  1.6343	  0.0000
  3.5744	  6.6308	 -3.3020	 -1.4946	  0.0000
  3.9370	  6.6308	 -1.5664	 -0.2625	  0.0000
  4.2996	  6.6308	 -2.8361	  1.9202	  0.0000
  4.6622	  6.6308	 -7.5686	 -7.6167	  0.0000
  5.0249	  6.6308	 -1.7015	 -0.2344	  1.0000
  5.3875	  6.6308	 -1.5619	 -0.1662	  1.0000
  5.7501	  6.6308	  7.3377	  6.8821	  0.0000
  6.1127	  6.6308	 -0.9869	  0.3794	  1.0000
  6.4753	  6.6308	 -0.7537	  0.5315	  1.0000
  6.8380	  6.6308	  0.1520	 -0.5438	  0.0000
  7.2006	  6.6308	 -0.5521	 -0.4669	  0.0000
  7.5632	  6.6308	 -0.9225	  0.1995	  1.0000
  7.9258	  6.6308	 -0.9710	 -0.1248	  1.0000
  8.2884	  6.6308	 -1.2799	 -0.2979	  1.0000
  8.6511	  6.6308	 -0.1867	 -0.2582	  0.0000
  9.0137	  6.6308	 -1.7053	 -1.2593	  1.0000
  0.3108	  6.2681	 -2.3029	  1.5577	  1.0000
  0.6734	  6.2681	  0.4382	 -0.7768	  0.0000
  1.0361	  6.2681	  0.5096	 -1.1043	  0.0000
  1.3987	  6.2681	 -1.2568	  0.5944	  1.0000
  1.7613	  6.2681	 -0.6156	  0.2275	  1.0000
  2.1239	  6.2681	 -0.9384	  0.3557	  1.0000
  2.4865	  6.2681	 -0.7731	 -0.1471	  1.0000
  2.8492	  6.2681	 -1.1174	 -0.2143	  1.0000
  3.2118	  6.2681	 -1.5933	 -0.2537	  1.0000
