# x	y	u	v	mask
  0.3108	  6.9934	 -2.0620	  2.7497	  1.0000
  0.6734	  6.9934	 -0.9379	  2.9743	  1.0000
  1.0361	  6.9934	 -7.4719	  7.9091	  0.0000
  1.3987	  6.9934	  0.3336	  0.4476	  0.0000
  1.7613	  6.9934	 -0.1125	  1.8547	  1.0000
  2.1239	  6.9934	  0.0320	  1.4383	  1.0000
  2.4865	  6.9934	  0.0476	  1.4634	  1.0000
  2.8492	  6.9934	 -1.5318	  0.0103	  0.0000
  3.2118	  6.9934	 -7.6426	  6.3289	  0.0000
  3.5744	  6.9934	 -0.8994	  0.3718	  1.0000
  3.9370	  6.9934	-14.4226	  4.7584	  0.0000
  4.2996	  6.9934	 -0.5029	  0.5550	  1.0000
  4.6622	  6.9934	 -0.0669	  0.7301	  1.0000
  5.0249	  6.9934	  0.2269	  1.2282	  1.0000
  5.3875	  6.9934	  0.8218	  1.6341	  1.0000
  5.7501	  6.9934	  1.6370	  2.3855	  1.0000
  6.1127	  6.9934	  1.5485	  2.7329	  1.0000
  6.4753	  6.9934	  1.1631	  2.6757	  1.0000
  6.8380	  6.9934	  1.1359	  2.6024	  1.0000
  7.2006	  6.9934	  0.8928	  2.2877	  1.0000
  7.5632	  6.9934	  0.1022	  0.5493	  0.0000
  7.9258	  6.9934	 -0.3911	  0.2202	  0.0000
  8.2884	  6.9934	 -0.1656	  0.2220	  0.0000
  8.6511	  6.9934	 -4.9944	 -4.9421	  0.0000
  9.0137	  6.9934	 -0.0704	  0.5474	  0.0000
  0.3108	  6.6308	 -6.4496	  7.6871	  0.0000
  0.6734	  6.6308	 -8.2057	  7.2232	  0.0000
  1.0361	  6.6308	 -3.2777	 -8.1584	  0.0000
  1.3987	  6.6308	  0.0814	  1.5527	  1.0000
  1.7613	  6.6308	 12.9477	 10.3351	  0.0000
  2.1239	  6.6308	  0.5271	  0.7035	  1.0000
  2.4865	  6.6308	  0.8810	  0.5860	  1.0000
  2.8492	  6.6308	-11.4320	  5.6675	  0.0000
  3.2118	  6.6308	 -0.3773	  0.0694	  1.0000
  3.5744	  6.6308	 -0.4000	  0.1274	  1.0000
  3.9370	  6.6308	 -0.4368	  0.2503	  1.0000
  4.2996	  6.6308	 -0.1206	  0.2477	  1.0000
  4.6622	  6.6308	  0.1639	  0.4972	  1.0000
  5.0249	  6.6308	  0.3520	  1.1528	  1.0000
  5.3875	  6.6308	  7.2543	-11.2725	  0.0000
  5.7501	  6.6308	  1.4656	  2.5136	  1.0000
  6.1127	  6.6308	  0.1469	  0.3418	  0.0000
  6.4753	  6.6308	  1.0511	  2.7873	  1.0000
  6.8380	  6.6308	  0.8623	  2.8079	  1.0000
  7.2006	  6.6308	  0.6009	  2.5330	  1.0000
  7.5632	  6.6308	 -0.0210	  0.1583	  0.0000
  7.9258	  6.6308	  0.1794	  0.4106	  0.0000
  8.2884	  6.6308	 -0.1914	  0.4890	  0.0000
  8.6511	  6.6308	 -0.7524	  0.1597	  1.0000
  9.0137	  6.6308	 -0.9609	 -0.0513	  1.0000
  0.3108	  6.2681	 -0.9087	  1.7399	  1.0000
  0.6734	  6.2681	 -0.0508	  1.9624	  1.0000
  1.0361	  6.2681	  2.5665	  1.9892	  0.0000
  1.3987	  6.2681	  7.7567	  7.6429	  0.0000
  1.7613	  6.2681	  0.9582	  1.3742	  1.0000
  2.1239	  6.2681	  1.2500	  0.8644	  1.0000
  2.4865	  6.2681	  5.1639	 -0.4525	  0.0000
  2.8492	  6.2681	  1.1040	  0.6400	  1.0000
  3.2118	  6.2681	  0.2132	  0.2914	  1.0000
  3.5744	  6.2681	  0.1175	  0.3438	  1.0000
  3.9370	  6.2681	 -0.2034	  0.1063	  1.0000
  4.2996	  6.2681	 -7.8345	 -2.8476	  0.0000
  4.6622	  6.2681	  5.3968	  0.4561	  0.0000
  5.0249	  6.2681	  4.1249	  1.4280	  0.0000
  5.3875	  6.2681	-13.2002	 13.8678	  0.0000
  5.7501	  6.2681	  1.4337	  1.9885	  1.0000
  6.1127	  6.2681	 -0.1422	  9.1943	  0.0000
  6.4753	  6.2681	  1.3506	  2.4173	  1.0000
  6.8380	  6.2681	  0.1618	  0.2509	  0.0000
  7.2006	  6.2681	  0.7999	  2.2066	  1.0000
  7.5632	  6.2681	  0.5114	  1.8612	  1.0000
  7.9258	  6.2681	  0.0360	  1.0894	  1.0000
  8.2884	  6.2681	 -0.1893	  0.3380	  1.0000
  8.6511	  6.2681	 -0.7519	 -0.2520	  1.0000
  9.0137	  6.2681	 -0.9947	 -0.5660	  1.0000
  0.3108	  5.9055	 -1.5539	  5.7969	  0.0000
  0.6734	  5.9055	  0.0744	  2.4347	  1.0000
  1.0361	  5.9055	  3.5955	 -1.2980	  0.0000
  1.3987	  5.9055	-13.6506	  0.0647	  0.0000
  1.7613	  5.9055	  1.4859	  1.3627	  1.0000
  2.1239	  5.9055	  1.8395	  0.9424	  1.0000
  2.4865	  5.9055	  2.0108	  0.5100	  1.0000
  2.8492	  5.9055	  3.3337	 -3.0922	  0.0000
  3.2118	  5.9055	  3.4189	 -1.7045	  0.0000
  3.5744	  5.9055	  0.6807	  0.0286	  1.0000
  3.9370	  5.9055	  4.2501	 -5.6005	  0.0000
  4.2996	  5.9055	  0.3737	  0.1395	  1.0000
  4.6622	  5.9055	  0.5369	  0.2084	  1.0000
  5.0249	  5.9055	  7.8476	  2.4090	  0.0000
  5.3875	  5.9055	  5.6514	  0.8993	  0.0000
  5.7501	  5.9055	 -0.8183	  0.4983	  0.0000
  6.1127	  5.9055	  1.3687	  2.1827	  1.0000
  6.4753	  5.9055	  1.1444	  2.1858	  1.0000
  6.8380	  5.9055	 12.8996	 12.9063	  0.0000
  7.2006	  5.9055	  0.6643	  2.0021	  1.0000
  7.5632	  5.9055	  0.3568	  1.4574	  1.0000
  7.9258	  5.9055	  0.2030	  0.9379	  1.0000
  8.2884	  5.9055	 -0.0047	  0.2419	  1.0000
  8.6511	  5.9055	 -0.5027	 -0.3247	  1.0000
  9.0137	  5.9055	 -0.7375	 -0.6654	  1.0000
  0.3108	  5.5429	  1.0495	 -1.6372	  0.0000
  0.6734	  5.5429	  0.9315	  1.9398	  1.0000
  1.0361	  5.5429	 -7.7705	 -2.4795	  0.0000
  1.3987	  5.5429	  4.5586	 -5.7363	  0.0000
  1.7613	  5.5429	  2.3261	  0.8675	  1.0000
  2.1239	  5.5429	  4.7865	 -5.4463	  0.0000
  2.4865	  5.5429	  3.2847	  0.0046	  1.0000
  2.8492	  5.5429	  3.0194	 -0.0572	  1.0000
  3.2118	  5.5429	  4.5929	 -2.4060	  0.0000
  3.5744	  5.5429	  4.1789	 -7.2952	  0.0000
  3.9370	  5.5429	  1.4868	 -0.3515	  1.0000
  4.2996	  5.5429	-10.6720	  4.8144	  0.0000
  4.6622	  5.5429	  1.2180	  0.0274	  1.0000
  5.0249	  5.5429	  0.9815	  0.3716	  1.0000
  5.3875	  5.5429	  6.7693	 -1.9713	  0.0000
  5.7501	  5.5429	  1.5988	  1.2712	  1.0000
  6.1127	  5.5429	  1.7449	  1.7332	  1.0000
  6.4753	  5.5429	 -1.2641	  7.6347	  0.0000
  6.8380	  5.5429	 -7.6468	 11.9497	  0.0000
  7.2006	  5.5429	  1.2670	  1.5394	  1.0000
  7.5632	  5.5429	 -0.2268	  0.3929	  0.0000
  7.9258	  5.5429	  0.6211	  0.5943	  1.0000
  8.2884	  5.5429	 -0.0008	  0.6114	  0.0000
  8.6511	  5.5429	  0.4290	  0.4056	  0.0000
  9.0137	  5.5429	 -6.9921	  1.3732	  0.0000
  0.3108	  5.1803	  7.5594	 -0.7239	  0.0000
  0.6734	  5.1803	  0.1607	  4.1983	  0.0000
  1.0361	  5.1803	  2.3112	  0.8565	  1.0000
  1.3987	  5.1803	  2.8539	  1.0065	  1.0000
  1.7613	  5.1803	  3.3312	  0.6900	  1.0000
  2.1239	  5.1803	  4.0466	 -0.7407	  0.0000
  2.4865	  5.1803	 12.7989	 14.9772	  0.0000
  2.8492	  5.1803	  4.0537	 -4.1979	  0.0000
  3.2118	  5.1803	  4.0456	 -0.6876	  0.0000
  3.5744	  5.1803	  2.5883	 -0.7055	  1.0000
  3.9370	  5.1803	 -7.6939	  2.1806	  0.0000
  4.2996	  5.1803	  1.3498	 -0.6848	  1.0000
  4.6622	  5.1803	  1.0077	 -0.3746	  1.0000
  5.0249	  5.1803	  0.8838	  0.3031	  1.0000
  5.3875	  5.1803	  0.7433	  0.5826	  1.0000
  5.7501	  5.1803	  7.1284	 -2.1295	  0.0000
  6.1127	  5.1803	 -2.3410	 -7.7480	  0.0000
  6.4753	  5.1803	  1.1661	  1.9213	  1.0000
  6.8380	  5.1803	  1.3062	  1.7538	  1.0000
  7.2006	  5.1803	 11.5402	  7.5520	  0.0000
  7.5632	  5.1803	  0.8858	  0.8259	  1.0000
  7.9258	  5.1803	  0.0287	  0.4296	  0.0000
  8.2884	  5.1803	  0.4089	 -0.5782	  1.0000
  8.6511	  5.1803	 -0.0539	  0.3532	  0.0000
  9.0137	  5.1803	 -4.6898	-11.6989	  0.0000
  0.3108	  4.8177	-13.2631	  5.7085	  0.0000
  0.6734	  4.8177	  1.6049	  4.5128	  0.0000
  1.0361	  4.8177	  9.0356	 14.6067	  0.0000
  1.3987	  4.8177	  3.2352	  0.9079	  1.0000
  1.7613	  4.8177	  3.6606	  0.5977	  1.0000
  2.1239	  4.8177	  4.4530	 -0.1422	  1.0000
  2.4865	  4.8177	  6.3382	 -7.5908	  0.0000
  2.8492	  4.8177	  4.0205	 -3.5443	  0.0000
  3.2118	  4.8177	  6.6730	  5.3347	  0.0000
  3.5744	  4.8177	  3.3110	 -0.8933	  1.0000
  3.9370	  4.8177	  2.2782	 -1.4321	  1.0000
  4.2996	  4.8177	  2.0217	 -1.4182	  1.0000
  4.6622	  4.8177	  1.4018	 -0.8784	  1.0000
  5.0249	  4.8177	  1.0544	 -0.2105	  1.0000
  5.3875	  4.8177	  0.7409	 -0.0722	  1.0000
  5.7501	  4.8177	  1.2661	  0.9405	  1.0000
  6.1127	  4.8177	  3.6977	  9.3299	  0.0000
  6.4753	  4.8177	-11.6129	-10.0448	  0.0000
  6.8380	  4.8177	  1.6279	  1.6435	  1.0000
  7.2006	  4.8177	  1.5005	  1.3224	  1.0000
  7.5632	  4.8177	  1.4710	  0.7313	  1.0000
  7.9258	  4.8177	  1.3211	  0.0474	  1.0000
  8.2884	  4.8177	  0.1323	  0.6384	  0.0000
  8.6511	  4.8177	  0.8998	 -1.6241	  1.0000
  9.0137	  4.8177	  0.7910	 -2.1429	  1.0000
  0.3108	  4.4550	  3.4363	  1.1127	  1.0000
  0.6734	  4.4550	  3.4621	  1.1420	  1.0000
  1.0361	  4.4550	  3.6951	  0.7285	  1.0000
  1.3987	  4.4550	  4.2307	 -1.4352	  0.0000
  1.7613	  4.4550	  4.1783	 -1.5298	  0.0000
  2.1239	  4.4550	  4.4259	 -2.2244	  0.0000
  2.4865	  4.4550	  4.9769	 -0.7843	  1.0000
  2.8492	  4.4550	  4.4302	 -0.6519	  1.0000
  3.2118	  4.4550	 12.9889	-11.4164	  0.0000
  3.5744	  4.4550	 13.8516	  7.7683	  0.0000
  3.9370	  4.4550	 -3.8296	  6.8779	  0.0000
  4.2996	  4.4550	  4.0738	 -3.2297	  0.0000
  4.6622	  4.4550	  0.8760	 -0.8026	  1.0000
  5.0249	  4.4550	  0.4772	 -0.1672	  1.0000
  5.3875	  4.4550	  4.7401	 -7.8942	  0.0000
  5.7501	  4.4550	  0.8932	  0.4651	  1.0000
  6.1127	  4.4550	  6.1684	  0.9414	  0.0000
  6.4753	  4.4550	 14.2194	 -1.1897	  0.0000
  6.8380	  4.4550	  1.8527	  0.9400	  1.0000
  7.2006	  4.4550	  0.5413	  0.4646	  0.0000
  7.5632	  4.4550	  1.6995	  0.1354	  1.0000
